"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Prateleira)","Localização na Coleção (Caixa)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Superordem","Ordem","Subordem","Superfamília","Família","Subfamília","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de Remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00010","x","x","PBQ1-04","x","x","Arctotherium","Arctotherium","x","Animalia","Chordata","Vertebrata","Mammalia","Laurasiatheria","Carnivora","Caniformia","Ursoidea","Ursidae","Tremarctinae","Arctotherium","x","x","x","gênero","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","úmero","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00010","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00011","x","x","PBQ1-02","x","x","Megatheriidae","Megatheriidae","x","Animalia","Chordata","Vertebrata","Mammalia","Xenarthra","Pilosa","Folivora","Megatherioidea","Megatheriidae","x","x","x","x","x","família","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fêmur","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00011","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00012","x","x","PBQ1-31","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","tíbia","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00012","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00013","x","x","PBQ1-22","x","x","Glyptodontidae","Glyptodontidae","x","Animalia","Chordata","Vertebrata","Mammalia","Xenarthra","Cingulata","Glyptodontia","Glyptodontoidea","Glyptodontidae","x","x","x","x","x","gênero","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","carapaça","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00013","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00014","x","x","PBQ1-03","x","x","Folivora","Folivora","x","Animalia","Chordata","Vertebrata","Mammalia","Xenarthra","Pilosa","Folivora","x","x","x","x","x","x","x","subordem","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","rádio","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00014","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00015","x","x","PBQ1-14","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","costela","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00015","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00016","x","x","PBQ1-23","x","x","Eremotherium laurillardi (Lund, 1842)","Eremotherium laurillardi","(Lund, 1842)","Animalia","Chordata","Vertebrata","Mammalia","Xenarthra","Pilosa","Folivora","Megatherioidea","Megatheriidae","Megatheriinae","Eremotherium","x","laurillardi","x","espécie","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","astrágalo de preguiça gigante","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00016","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00017","x","x","PBQ1-37","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de osso","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00017","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00018","x","x","PBQ1-21","x","x","Smilodon populator Lund, 1842","Smilodon populator","Lund, 1842","Animalia","Chordata","Vertebrata","Mammalia","Laurasiatheria","Carnivora","Feliformia","Feloidea","Felidae","Machairodontinae","Smilodon","x","populator","x","espécie","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","úmero de Cervidae","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00018","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00019","x","x","PBQ1-24","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de costela","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00019","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00020","x","x","PBQ-27","x","x","Megatheriidae","Megatheriidae","x","Animalia","Chordata","Vertebrata","Mammalia","Xenarthra","Pilosa","Folivora","Megatherioidea","Megatheriidae","x","x","x","x","x","família","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","escápula de preguiça","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00020","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00021","x","x","x","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de costela","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00021","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00022","x","x","x","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de osso","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00022","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00023","x","x","x","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de osso","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00023","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00024","x","x","x","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","tarso ou metatarso","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00024","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00025","x","x","PBQ1-16","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de costela","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00025","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00026","x","x","PBQ1-17","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de costela","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00026","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00027","x","x","PBQ1-10","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de costela","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00027","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00028","x","x","PBQ1-12","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de costela","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00028","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00029","x","x","PBQ1-19","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de costela","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00029","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00030","x","x","BQ1-11","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de costela","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00030","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00031","x","x","BQ1-15","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de costela","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00031","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00032","x","x","x","x","x","Scelidotherium","Scelidotherium","x","Animalia","Chordata","Vertebrata","Mammalia","Xenarthra","Pilosa","Folivora","Mylodontoidea","Mylodontidae","Scelidotheriinae","Scelidotherium","x","x","x","gênero","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","úmero esquerdo, dois fragmentos","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00032","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00033","x","x","x","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00033","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00034","x","x","PBQ-25","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de vértebra com incrustações","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00034","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00035","x","x","x","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de osso longo","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00035","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00036","x","x","PBQ-28","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de vértebra","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00036","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00037","x","x","x","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de vértebra lombar","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00037","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00038","x","x","PBQ-30","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","epífise proximal de ulna","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00038","x"
