"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Prateleira)","Localização na Coleção (Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Classe","Ordem","Família","Subfamília","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de Remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2017-08-31","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00014","x","x",14,"x","x","Lasiurus blossevillii ([Lesson, 1826])","Lasiurus blossevillii","([Lesson, 1826])","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Vespertilioninae","Lasiurus","x","blossevillii","x","espécie","aceito","x","x","ICZN","x","TADDEI, V. A.","1992-05-27","voucher","NOVAES, I. M.","x","x","27","10",1987,"x","x","27.X.1987","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)","não informado","x","x","x","x","selvagem","x","x","em tombamento","x","x","x","Ecologia","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00014","x"
"2017-08-31","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00015","x","x",15,"x","x","Lasiurus blossevillii ([Lesson, 1826])","Lasiurus blossevillii","([Lesson, 1826])","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Vespertilioninae","Lasiurus","x","blossevillii","x","espécie","aceito","x","x","ICZN","x","SOUZA, L. O. I.","x","voucher","BÉDA, A. F.","x","x","07","10",1983,"x","x","07.X.1983","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"fêmea","peso (g): 47; antebraço (mm): 62","x","x","selvagem","x","x","em tombamento","x","x","x","Bordignon","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00015","x"
"2017-08-31","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00016","x","x",16,"x","x","Glossophaga soricina (Pallas, 1766)","Glossophaga soricina","(Pallas, 1766)","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Glossophaginae","Glossophaga","x","soricina","x","espécie","aceito","x","x","ICZN","x","SOUZA, L. O. I.","x","voucher","FROEHLICH, O.","x","x","26","09",1989,"x","x","26.IX.1989","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Aquidauana","x","Fazenda Santa Maria","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",5,"2 macho; 3 fêmea","peso (g): 44; antebraço (mm): 61,5","x","x","selvagem","x","x","em tombamento","x","x","x","Bordignon","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00016","x"
"2017-08-31","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00017","x","x",17,"x","x","Molossus rufus E. Geoffroy, 1805","Molossus rufus","E. Geoffroy, 1805","Animalia","Chordata","Mammalia","Chiroptera","Molossidae","Molossinae","Molossus","x","rufus","x","espécie","aceito","x","x","ICZN","x","SOUZA, L. O. I.","x","voucher","BEGINA, G.","x","x","15","12",1985,"x","x","15.XII.1985","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",2,"macho","peso (g): 25; antebraço (mm): 47,1","x","x","selvagem","x","x","em tombamento","GR02/2013","x","x","Bordignon","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00017","x"
"2017-10-30","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00018","encontrado","x",18,"x","x","Nyctinomops laticaudatus (E. Geoffroy, 1805)","Nyctinomops laticaudatus","(E. Geoffroy, 1805)","Animalia","Chordata","Mammalia","Chiroptera","Molossidae","Molossinae","Nyctinomops","x","laticaudatus","x","espécie","aceito","x","x","ICZN","x","SOUZA, L. O. I.","x","voucher","GONÇALVEZ, E. G.","x","x","11","06",2005,"x","x","11.VI.2005","x","Cerrado","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","x","x","x","selvagem","x","x","empréstimo","GR28/2017","x","x","Bordignon","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00018","x"
"2017-08-31","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00019","x","x",19,"x","x","Noctilio leporinus (Linnaeus, 1758)","Noctilio leporinus","(Linnaeus, 1758)","Animalia","Chordata","Mammalia","Chiroptera","Noctilionidae","Noctilioniae","Noctilio","x","leporinus","x","espécie","aceito","x","x","ICZN","x","SOUZA, L. O. I.","x","voucher","SOUZA, L. O. I.; BORDENARUK, M. I. M.","x","x","22","05",1990,"x","x","22.V.1990","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Passo do Lontra","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",7,"macho","peso (g): 30; antebraço (mm): 47","x","x","selvagem","x","x","em tombamento","x","x","x","Bordignon","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00019","x"
"2017-08-31","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00020","x","x",20,"x","x","Myotis nigricans (Schinz, 1821)","Myotis nigricans","(Schinz, 1821)","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotinae","Myotis","x","nigricans","x","espécie","aceito","x","x","ICZN","x","SOUZA, L. O. I.","x","voucher","SOUZA, L. O. I.; BORDENARUK, M. I. M.","x","x","19","05",1990,"x","x","19.V.1990","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Passo do Lontra","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",3,"1 macho; 2 fêmea","peso (g): 25; antebraço (mm): 45,2","x","x","selvagem","x","x","em tombamento","GR02/2013","x","x","Bordignon","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00020","x"
"2017-08-31","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00021","encontrado","x",21,"x","com crânio","Promops centralis Thomas, 1915","Promops centralis","Thomas, 1915","Animalia","Chordata","Mammalia","Chiroptera","Molossidae","Molossinae","Promops","x","centralis","x","espécie","aceito","x","x","ICZN","x","SOUZA, L. O. I.","x","voucher","SOUZA, L. O. I.; BORDENARUK, M. I. M.","x","x","20","05",1990,"x","x","20.V.1990","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Passo do Lontra","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","peso (g): 4; antebraço (mm): 31,6","x","x","selvagem","x","x","em tombamento","x","x","x","Bordignon","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00021","x"
"2017-08-31","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00022","x","x",22,"x","x","Platyrrhinus lineatus (E. Geoffroy, 1810)","Platyrrhinus lineatus","(E. Geoffroy, 1810)","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Stenodermatinae","Platyrrhinus","x","lineatus","x","espécie","aceito","x","x","ICZN","x","SOUZA, L. O. I.","x","voucher","SOUZA, L. O. I.; BORDENARUK, M. I. M.","x","x","20","05",1990,"x","x","20.V.1990","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Passo do Lontra","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"fêmea","peso (g): 46; antebraço (mm): 62,2","x","x","selvagem","x","x","em tombamento","x","x","x","Bordignon","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00022","x"
"2017-08-31","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00023","x","x",23,"x","x","Noctilio albiventris Desmarest, 1818","Noctilio albiventris","Desmarest, 1818","Animalia","Chordata","Mammalia","Chiroptera","Noctilionidae","Noctilioniae","Noctilio","x","albiventris","x","espécie","aceito","x","x","ICZN","x","SOUZA, L. O. I.","x","voucher","SOUZA, L. O. I.; BORDENARUK, M. I. M.","x","x","21","05",1990,"x","x","21.V.1990","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Passo do Lontra","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",2,"macho","peso (g): 46; antebraço (mm): 61,4","x","x","selvagem","x","x","em tombamento","x","x","x","Bordignon","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00023","x"
