"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Prateleira)","Localização na Coleção (Caixa)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Classe","Ordem","Família","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de Remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial:shelfLocation","artificial:flaskLocation","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial:shippingGuide","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2018-06-06","nenhuma","MaterialSample","UFMS","ZUFMS","ZUFMS-TEC00236","organizar","organizar","x","ZUFMS-REP02175","animal inteiro","Thamnodynastes sp. Wagler, 1830","Thamnodynastes","Wagler, 1830","Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Thamnodynastes","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","PIATTI, L.","2012-11-21","voucher","FAGGIONI, G. P.; PIATTI, L.","x","x","21","11","2012","x","2012-11-21","21.XI.2012","busca ativa","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Porto Murtinho","x","Fazenda Anahí","21°39'58""S","57°44'27""W","-21.666111","-57.740833","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","tecido (ETOH P.A.)",1,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","Uetz et al., 2016","br:UFMS:ZUFMS:ZUFMS-TEC00236","x"
"2018-06-06","nenhuma","MaterialSample","UFMS","ZUFMS","ZUFMS-TEC00237","organizar","organizar","x","ZUFMS-REP02176","animal inteiro","Thamnodynastes sp. Wagler, 1830","Thamnodynastes","Wagler, 1830","Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Thamnodynastes","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","PIATTI, L.","2012-11-19","voucher","FAGGIONI, G. P.; PIATTI, L.","x","x","19","11","2012","x","2012-11-19","19.XI.2012","busca ativa","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Porto Murtinho","x","Fazenda Anahí","21°41'14""S","57°43'44""W","-21.687222","-57.728889","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","tecido (ETOH P.A.)",1,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","Uetz et al., 2016","br:UFMS:ZUFMS:ZUFMS-TEC00237","x"
"2018-06-08","nenhuma","MaterialSample","UFMS","ZUFMS","ZUFMS-TEC00238","organizar","organizar","nenhum","ZUFMS-AMP01032","animal inteiro","Trachycephalus typhonius (Linnaeus, 1758)","Trachycephalus typhonius","(Linnaeus, 1758)","Animalia","Chordata","Amphibia","Anura","Hylidae","Trachycephalus","x","venulosus","x","espécie","aceito","x","indeterminado","ICZN","x","PIATTI, L.","2009-10-15","voucher","SOUZA, F.L.; UETANABARO, M.","CH262","x","24","08","2008","x","2008-08-24","24.VIII.2008","busca ativa","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Porto Murtinho","x","Fazenda Patolá","21°42'07""S","57°43'15""W","-21.701944","-57.720833","nulo","WGS84","N: 21o41'08.01""S; S: 21o42'35.42""S; L: 57o42'56.02""O; O: 57o43'23.45""O.","nulo","nulo","nenhum","nulo","nulo","nenhuma","tecido (ETOH P.A.)",1,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","Frost, Darrel R., 2017","br:UFMS:ZUFMS:ZUFMS-TEC00238","x"
"2018-06-08","nenhuma","MaterialSample","UFMS","ZUFMS","ZUFMS-TEC00239","organizar","organizar","nenhum","ZUFMS-AMP03154","animal inteiro","Trachycephalus typhonius (Linnaeus, 1758)","Trachycephalus typhonius","(Linnaeus, 1758)","Animalia","Chordata","Amphibia","Anura","Hylidae","Trachycephalus","x","typhonius","x","espécie","aceito","x","indeterminado","ICZN","x","FERREIRA, V. L.","2014-04-21","voucher","BORDIGNON, M. O.","x","x","20","06","2013","x","2013-06-20","20.VI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Nova Andradina","x","Fazenda Dona Amélia","22°12'35.3""S","53°28'35.49""W","-22.209806","-53.476525","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","tecido (ETOH P.A.)",1,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","Frost, Darrel R., 2017","br:UFMS:ZUFMS:ZUFMS-TEC00239","x"
"2018-06-06","nenhuma","MaterialSample","UFMS","ZUFMS","ZUFMS-TEC00240","organizar","organizar","x","ZUFMS-REP02289","animal inteiro","Tropidurus torquatus (Wied, 1820)","Tropidurus torquatus","(Wied, 1820)","Animalia","Chordata","Reptilia","Squamata","Tropiduridae","Tropidurus","x","torquatus","x","espécie","aceito","x","indeterminado","ICZN","x","FERREIRA, V. L.","2015-06-12","voucher","SANCHES, E. S.","x","x","10","06","2015",09:30:00,"2015-06-10","10.VI.2015","busca ativa","transição Cerrado-Mata Atlântica degradado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Ivinhema","x","Cinturão Verde, saída para Naviraí","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","tecido (ETOH P.A.)",1,"macho","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","Uetz et al., 2016","br:UFMS:ZUFMS:ZUFMS-TEC00240","x"
"2018-06-06","nenhuma","MaterialSample","UFMS","ZUFMS","ZUFMS-TEC00241","organizar","organizar","x","ZUFMS-REP02290","animal inteiro","Tropidurus torquatus (Wied, 1820)","Tropidurus torquatus","(Wied, 1820)","Animalia","Chordata","Reptilia","Squamata","Tropiduridae","Tropidurus","x","torquatus","x","espécie","aceito","x","indeterminado","ICZN","x","FERREIRA, V. L.","2015-06-12","voucher","SANCHES, E. S.","x","x","10","06","2015",09:30:00,"2015-06-10","10.VI.2015","busca ativa","transição Cerrado-Mata Atlântica degradado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Ivinhema","x","Cinturão Verde, saída para Naviraí","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","tecido (ETOH P.A.)",1,"fêmea","não informado","juvenil","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","Uetz et al., 2016","br:UFMS:ZUFMS:ZUFMS-TEC00241","x"
"2018-06-05","nenhuma","MaterialSample","UFMS","ZUFMS","ZUFMS-TEC00242","organizar","organizar","REP01003","ZUFMS-REP00604","animal inteiro","Xenodon matogrossensis (Scrocchi & Cruz, 1993)","Xenodon matogrossensis","(Scrocchi & Cruz, 1993)","Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Xenodon","x","matogrossensis","x","espécie","aceito","x","indeterminado","ICZN","x","PIATTI, L.","2010-03-15","voucher","SOUZA, F.L.; UETANABARO, M.","CH265","x","25","08","2008","x","2008-08-25","25.VIII.2008","pitfall","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Porto Murtinho","x","Fazenda Patolá","21°42'07""S","57°43'15""W","-21.701944","-57.720833","nulo","WGS84","N: 21 41'08.01''S; S: 21 42'35.42''S; L: 57 42'56.02''O; O: 57 43'23.45''O.","nulo","nulo","nenhum","nulo","nulo","nenhuma","tecido (ETOH P.A.)",1,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","Uetz et al., 2016","br:UFMS:ZUFMS:ZUFMS-TEC00242","x"
"2018-06-06","nenhuma","MaterialSample","UFMS","ZUFMS","ZUFMS-TEC00243","organizar","organizar","x","ZUFMS-REP02755","animal inteiro","Xenodon matogrossensis (Scrocchi & Cruz, 1993)","Xenodon matogrossensis","(Scrocchi & Cruz, 1993)","Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Xenodon","x","matogrossensis","x","espécie","aceito","x","indeterminado","ICZN","x","SANTANA, D. J.","2017-11-22","voucher","SANTANA, D. J.","x","x","22","11","2017","x","2017-11-22","22.XI.2017","ocasional","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Porto Murtinho","x","Estrada para Fazenda Campo Florido","21°41'48.0""S","57°42'53.0""W","-21.696667","-57.714722","10","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","tecido (ETOH P.A.)",1,"indeterminado","não informado","indeterminado","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","Costa & Bérnils, 2016","br:UFMS:ZUFMS:ZUFMS-TEC00243","x"
"2018-06-05","nenhuma","MaterialSample","UFMS","ZUFMS","ZUFMS-TEC00244","organizar","organizar","x","ZUFMS-REP01003","animal inteiro","Xenodon pulcher (Jan, 1863)","Xenodon pulcher","(Jan, 1863)","Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Xenodon","x","pulcher","x","espécie","aceito","x","indeterminado","ICZN","x","PIATTI, L.","2018-05-16","voucher","SOUZA, F.L.; UETANABARO, M.","CH290","x","25","08","2008","x","2008-08-25","25.VIII.2008","pitfall","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Porto Murtinho","x","Fazenda Patolá","21°42'07""S","57°43'15""W","-21.701944","-57.720833","nulo","WGS84","N: 21 41'08.01''S; S: 21 42'35.42''S; L: 57 42'56.02''O; O: 57 43'23.45''O.","nulo","nulo","nenhum","nulo","nulo","nenhuma","tecido (ETOH P.A.)",1,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","Uetz et al., 2016","br:UFMS:ZUFMS:ZUFMS-TEC00244","Xenodon matogrossensis (Scrocchi & Cruz, 1993), ID por PIATTI, L. 2010-03-15"
"2018-06-08","nenhuma","MaterialSample","UFMS","ZUFMS","ZUFMS-TEC00245","organizar","organizar","nenhum","ZUFMS-AMP01074","animal inteiro","Scinax nasicus (Cope, 1862)","Scinax nasicus","(Cope, 1862)","Animalia","Chordata","Amphibia","Anura","Hylidae","Scinax","x","nasicus","x","espécie","aceito","x","indeterminado","ICZN","x","PIATTI, L.","2010-03-15","voucher","SOUZA, F.L.; UETANABARO, M.","CH610","x","28","03","2008","x","2008-03-28","28.III.2008","pitfall","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Porto Murtinho","x","Fazenda Patolá","21°42'07""S","57°43'15""W","-21.701944","-57.720833","nulo","WGS84","N: 21o41'08.01""S; S: 21o42'35.42""S; L: 57o42'56.02""O; O: 57o43'23.45""O.","nulo","nulo","nenhum","nulo","nulo","nenhuma","tecido (ETOH P.A.)",1,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","Frost, Darrel R., 2017","br:UFMS:ZUFMS:ZUFMS-TEC00245","x"
