"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta/Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Tribo","Subtribo","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06226","nenhum","nenhum","Asilidae Latreille, 1802","Asilidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Asilidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","20","10","2011","x","2011-10-20","20.X.2011","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06227","nenhum","nenhum","Diptera Linnaeus, 1758","Diptera","Linnaeus, 1758","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","x","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","15","03","2012","x","2012-03-15","15.III.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06228","nenhum","nenhum","Cecidomyiidae Newman, 1834","Cecidomyiidae","Newman, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Cecidomyiidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","15","03","2012","x","2012-03-15","15.III.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06229","nenhum","nenhum","Muscidae Latreille, 1802","Muscidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Muscidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","19","04","2012","x","2012-04-19","19.IV.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06230","nenhum","nenhum","Sciaridae Billberg, 1820","Sciaridae","Billberg, 1820","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Sciaridae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","22","04","2012","x","2012-04-22","22.IV.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06231","nenhum","nenhum","Diptera Linnaeus, 1758","Diptera","Linnaeus, 1758","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","x","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","10","11","2011","x","2011-11-10","10.XI.2011","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06232","nenhum","nenhum","Bibionidae Newman, 1834","Bibionidae","Newman, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Bibionidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","13","03","2012","x","2012-03-13","13.III.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06233","nenhum","nenhum","Bibionidae Newman, 1834","Bibionidae","Newman, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Bibionidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","21","10","2011","x","2011-10-21","21.X.2011","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06234","nenhum","nenhum","Ptychopteridae Osten Sacken, 1862","Ptychopteridae","Osten Sacken, 1862","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Ptychopteridae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","29","05","2012","x","2012-05-29","29.V.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06235","nenhum","nenhum","Ceratopogonidae Newman, 1834","Ceratopogonidae","Newman, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Ceratopogonidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","29","05","2012","x","2012-05-29","29.V.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
