"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta/Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Tribo","Subtribo","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00278","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00278","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00279","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00279","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00280","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00280","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00281","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00281","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00282","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00282","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00283","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00283","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00284","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00284","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00285","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00285","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00286","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00286","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00287","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00287","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00288","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00288","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00289","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00289","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00290","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00290","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00291","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00291","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00292","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00292","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00293","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00293","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00294","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00294","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00295","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00295","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00296","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00296","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00297","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00297","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00298","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00298","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00299","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00299","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00300","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00300","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00301","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00301","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00302","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00302","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00303","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00303","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00304","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00304","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00305","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00305","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00306","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00306","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00307","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00307","x"
"2021-06-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP00308","entregues estagiários Graciolli","organizar","nenhum","nenhum","nenhum","Sarcophagidae Macquart, 1834","Sarcophagidae","Macquart, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Sarcophagidae","x","x","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","voucher","TOMA, R.","x","Ar1","25","10","2013","x","x","23.X.2013","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)","x","x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-DIP00308","x"
