"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2021-07-06","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHE00438","organizar","individual","nenhum","nenhum","nenhum","Eusarcus sp. Perty, 1833","Eusarcus","Perty, 1833","Animalia","Arthropoda","Chelicerata","Arachnida","Opiliones","Laniatores","Gonyleptidae","Pachylinae","Eusarcus","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","MELLO, E.","2021-07-26","voucher","ESCARPINATI, S. C.","56","x","01","08","2011","x","2011-08-01","01.VIII.2011","não informado","caverna","nenhuma","sp.","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta Cinco de Ouros","20°34'15.0""S","56°43'30.0""W","-20.570833","-56.725000","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"não informado","não informado","adulto","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","Dissertação de Mestrado Elisa Mello","nenhuma","CTFB, 2021","br:UFMS:ZUFMS:ZUFMS-CHE00438","x"
"2021-07-06","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHE00439","organizar","individual","nenhum","nenhum","nenhum","Eusarcus sp. Perty, 1833","Eusarcus","Perty, 1833","Animalia","Arthropoda","Chelicerata","Arachnida","Opiliones","Laniatores","Gonyleptidae","Pachylinae","Eusarcus","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","MELLO, E.","2021-07-26","voucher","ESCARPINATI, S. C.","75","x","14","05","2011","x","2011-05-14","14.V.2011","não informado","caverna","nenhuma","sp.","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta Cerâmicas","20°30'59.0""S","56°43'48.0""W","-20.516389","-56.730000","nulo","WGS84","x",340,340,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"não informado","não informado","adulto","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","Dissertação de Mestrado Elisa Mello","nenhuma","CTFB, 2021","br:UFMS:ZUFMS:ZUFMS-CHE00439","x"
"2021-07-06","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHE00440","organizar","CHECP","nenhum","nenhum","nenhum","Eusarcus sp. Perty, 1833","Eusarcus","Perty, 1833","Animalia","Arthropoda","Chelicerata","Arachnida","Opiliones","Laniatores","Gonyleptidae","Pachylinae","Eusarcus","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","MELLO, E.","2021-07-26","voucher","MELLO, E.","90","x","04","12","2015","x","2015-12-04","04.XII.2015","não informado","caverna","nenhuma","sp.","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","Parque Nacional da Serra da Bodoquena","Gruta Dente de Cão","20°44'54.0""S","56°47'59.0""W","-20.748333","-56.799722","nulo","WGS84","x",297,297,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"não informado","não informado","adulto","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","Dissertação de Mestrado Elisa Mello","nenhuma","CTFB, 2021","br:UFMS:ZUFMS:ZUFMS-CHE00440","x"
"2021-07-06","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHE00441","organizar","CHECP","nenhum","nenhum","nenhum","Eusarcus sp. Perty, 1833","Eusarcus","Perty, 1833","Animalia","Arthropoda","Chelicerata","Arachnida","Opiliones","Laniatores","Gonyleptidae","Pachylinae","Eusarcus","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","MELLO, E.","2021-07-26","voucher","MELLO, E.","90","x","04","12","2015","x","2015-12-04","04.XII.2015","não informado","caverna","nenhuma","sp.","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","Parque Nacional da Serra da Bodoquena","Gruta Dente de Cão","20°44'54.0""S","56°47'59.0""W","-20.748333","-56.799722","nulo","WGS84","x",297,297,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"não informado","não informado","adulto","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","Dissertação de Mestrado Elisa Mello","nenhuma","CTFB, 2021","br:UFMS:ZUFMS:ZUFMS-CHE00441","x"
"2021-07-06","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHE00442","organizar","CHECP","nenhum","nenhum","nenhum","Eusarcus sp. Perty, 1833","Eusarcus","Perty, 1833","Animalia","Arthropoda","Chelicerata","Arachnida","Opiliones","Laniatores","Gonyleptidae","Pachylinae","Eusarcus","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","MELLO, E.","2021-07-26","voucher","MELLO, E.","90","x","04","12","2015","x","2015-12-04","04.XII.2015","não informado","caverna","nenhuma","sp.","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","Parque Nacional da Serra da Bodoquena","Gruta Dente de Cão","20°44'54.0""S","56°47'59.0""W","-20.748333","-56.799722","nulo","WGS84","x",297,297,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"não informado","não informado","adulto","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","Dissertação de Mestrado Elisa Mello","nenhuma","CTFB, 2021","br:UFMS:ZUFMS:ZUFMS-CHE00442","x"
"2021-07-06","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHE00443","organizar","CHECP","nenhum","nenhum","nenhum","Eusarcus sp. Perty, 1833","Eusarcus","Perty, 1833","Animalia","Arthropoda","Chelicerata","Arachnida","Opiliones","Laniatores","Gonyleptidae","Pachylinae","Eusarcus","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","MELLO, E.","2021-07-26","voucher","MELLO, E.","90","x","04","12","2015","x","2015-12-04","04.XII.2015","não informado","caverna","nenhuma","sp.","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","Parque Nacional da Serra da Bodoquena","Gruta Dente de Cão","20°44'54.0""S","56°47'59.0""W","-20.748333","-56.799722","nulo","WGS84","x",297,297,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"não informado","não informado","adulto","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","Dissertação de Mestrado Elisa Mello","nenhuma","CTFB, 2021","br:UFMS:ZUFMS:ZUFMS-CHE00443","x"
"2021-07-06","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHE00444","organizar","CHECP","nenhum","nenhum","nenhum","Eusarcus sp. Perty, 1833","Eusarcus","Perty, 1833","Animalia","Arthropoda","Chelicerata","Arachnida","Opiliones","Laniatores","Gonyleptidae","Pachylinae","Eusarcus","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","MELLO, E.","2021-07-26","voucher","MELLO, E.","90","x","04","12","2015","x","2015-12-04","04.XII.2015","não informado","caverna","nenhuma","sp.","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","Parque Nacional da Serra da Bodoquena","Gruta Dente de Cão","20°44'54.0""S","56°47'59.0""W","-20.748333","-56.799722","nulo","WGS84","x",297,297,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"não informado","não informado","adulto","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","Dissertação de Mestrado Elisa Mello","nenhuma","CTFB, 2021","br:UFMS:ZUFMS:ZUFMS-CHE00444","x"
"2021-07-06","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHE00445","organizar","individual","nenhum","nenhum","nenhum","Eusarcus sp. Perty, 1833","Eusarcus","Perty, 1833","Animalia","Arthropoda","Chelicerata","Arachnida","Opiliones","Laniatores","Gonyleptidae","Pachylinae","Eusarcus","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","MELLO, E.","2021-07-26","voucher","CORDEIRO, L. M.; BORGUEZAN, R.","48","x","02","11","2010","x","2010-11-02","02.XI.2010","não informado","caverna","nenhuma","sp3.","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","x","Gruta Urubu Rei","20°29'40.0""S","56°51'11.0""W","-20.494444","-56.853056","nulo","WGS84","x",315,315,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"não informado","não informado","adulto","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","Dissertação de Mestrado Elisa Mello","nenhuma","CTFB, 2021","br:UFMS:ZUFMS:ZUFMS-CHE00445","x"
"2021-07-06","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHE00446","organizar","CHECQ","nenhum","nenhum","nenhum","Eusarcus sp. Perty, 1833","Eusarcus","Perty, 1833","Animalia","Arthropoda","Chelicerata","Arachnida","Opiliones","Laniatores","Gonyleptidae","Pachylinae","Eusarcus","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","MELLO, E.","2021-07-26","voucher","MELLO, E.","51","x","06","12","2015","x","2015-12-06","06.XII.2015","não informado","caverna","nenhuma","sp.","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta Dona Benedita","20°34'01.0""S","56°43'25.0""W","-20.566944","-56.723611","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"não informado","não informado","adulto","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","Dissertação de Mestrado Elisa Mello","nenhuma","CTFB, 2021","br:UFMS:ZUFMS:ZUFMS-CHE00446","x"
"2021-07-06","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHE00447","organizar","CHECQ","nenhum","nenhum","nenhum","Eusarcus sp. Perty, 1833","Eusarcus","Perty, 1833","Animalia","Arthropoda","Chelicerata","Arachnida","Opiliones","Laniatores","Gonyleptidae","Pachylinae","Eusarcus","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","MELLO, E.","2021-07-26","voucher","MELLO, E.","91","x","03","12","2015","x","2015-12-03","03.XII.2015","não informado","caverna","nenhuma","sp.","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta Dona Benedita","20°34'01.0""S","56°43'25.0""W","-20.566944","-56.723611","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"não informado","não informado","adulto","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","Dissertação de Mestrado Elisa Mello","nenhuma","CTFB, 2021","br:UFMS:ZUFMS:ZUFMS-CHE00447","x"
