"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Subclasse","Ordem","Família","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial","artificial","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","artificial","class","artificial","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2021-11-01","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MYR00001","organizar","individual","nenhum","nenhum","nenhum","Polyxenidae Lucas,1840","Polyxenidae","Lucas,1840","Animalia","Arthropoda","Myriapoda","Diplopoda","Penicillata","Polyxenida","Polyxenidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","ANTÔNIO-SILVA, L.","2019-10-05","voucher","LUCON, T. N.","MS024","x","11","06","2019",18:00:00,"2019-06-11","11.VI.2019","busca ativa","Mata seca associada a afloramento calcário","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","x","Serra das Três Cruzes","20°32'27.46""S","56°44'12.71""W","-20.540961","-56.736866",7,"SIRGAS2000","GPS: 020°30'00""S--020°33'00""S/056°44'56""W--056°41'57""W",275,275,"nenhum","nulo","nulo","coletado no Abrigo CD03","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","juvenil","não reprodutivo","selvagem","forrageando","nenhuma","em coleção","x","DUY-JACQUEMIN, Monique N. Revisão dos gêneros de Polyxenidae com sensibilização gnococilarial pseudoarticulada (Diplopoda, Polyxenida, Polyxenidae), com a descrição de duas novas espécies, Zoosystema 31 (4), 829-848, dez. 2009.","x","Projeto Filitos Sul, InterCement Brasil S.A ","nenhuma","ITIS, 2021","x","x"
"2021-11-01","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MYR00002","organizar","individual","nenhum","nenhum","nenhum","Spirostreptida Brandt, 1833","Spirostreptida","Brandt, 1833","Animalia","Arthropoda","Myriapoda","Diplopoda","Helminthomorpha","Spirostreptida","x","x","x","x","x","ordem","aceito","x","piolho-de-cobra","ICZN","x","ANTÔNIO-SILVA, L.","2019-12-18","voucher","LUCON, T. N.","MS051","x","13","06","2019",14:00:00,"2019-06-13","13.VI.2019","busca ativa","Mata seca associada a afloramento calcário","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","x","Serra das Três Cruzes","20°32'30.97""S","56°44'16.96""W","-20.541938","-56.738044",9,"SIRGAS2000","GPS: 020°30'00""S--020°33'00""S/056°44'56""W--056°41'57""W",241,241,"nenhum","nulo","nulo","coletado no Abrigo MS72","lote de animais inteiros (ETOH 70%)",2,"indeterminado","não informado","adultos","não reprodutivo","selvagem","forrageando","nenhuma","em coleção","x","BATISELLA, Daniel A.; PINHEIRO, Tamiris G.; RODRIGUES, Domingos de J. & BATTIROLA, Leandro D.Distribuição de espécies de Spirostreptidae (Diplopoda: Spirostreptida) em uma área na Amazônia mato-grossense. Acta Biol. Par., Curitiba, 44  (3-4): 159-170. 2015. ","x","Projeto Filitos Sul, InterCement Brasil S.A ","nenhuma","ITIS, 2021","x","x"
