"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Tribo","Subtribo","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,2,"CEUFMS 02993","nenhum","nenhum","Coleoptera Linnaeus, 1758","Coleoptera","Linnaeus, 1758","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","x","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Chiaravalleti, R. M.","x","x","x","10","x","x","x","x","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","x","x","x","x","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,2,"CEUFMS 02994","nenhum","nenhum","Coleoptera Linnaeus, 1758","Coleoptera","Linnaeus, 1758","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","x","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","Morais, L.","2006","voucher","Chiaravalleti, R. M.","x","x","27","08","2006","x","2006-08-27","27.VIII.2006","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,2,"CEUFMS 02995","nenhum","nenhum","Coleoptera Linnaeus, 1758","Coleoptera","Linnaeus, 1758","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","x","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Marcelle","x","x","19","10","2006","x","2006-10-19","19.X.2006","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,2,"CEUFMS 02996","nenhum","nenhum","Coleoptera Linnaeus, 1758","Coleoptera","Linnaeus, 1758","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","x","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","Carlos, H. C. V. et al.","2006","voucher","Carlos, H. C. V. et al.","x","x","19","08","2006","x","2006-08-19","19.VIII.2006","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Jardim Tropical","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,2,"CEUFMS 02997","nenhum","nenhum","Coleoptera Linnaeus, 1758","Coleoptera","Linnaeus, 1758","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","x","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","Severo-Neto, F.","2006","voucher","Severo-Neto, F.","x","x","26","08","2006","x","2006-08-26","26.VIII.2006","não informado","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Base de Estudos do Pantanal - UFMS","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,2,"CEUFMS 02998","nenhum","nenhum","Coleoptera Linnaeus, 1758","Coleoptera","Linnaeus, 1758","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","x","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","Severo-Neto, F.","2006","voucher","Restel, A.","x","x","27","08","2006","x","2006-08-27","27.VIII.2006","não informado","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Base de Estudos do Pantanal - UFMS","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,2,"CEUFMS 02999","nenhum","nenhum","Coleoptera Linnaeus, 1758","Coleoptera","Linnaeus, 1758","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","x","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","Silva, C. L.","2005","voucher","Soares, M. A. A.","x","x","03","05","2005","x","2005-05-03","03.V.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,2,"CEUFMS 03000","nenhum","nenhum","Prioninae Latreille, 1802","Prioninae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Cerambycidae","Prioninae","x","x","x","x","x","x","subfamília","aceito","x","indeterminado","ICZN","x","Luppi, T. C.","2005","voucher","Pina, P. I.","x","x","10","10","2005","x","2005-10-10","10.X.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04795","nenhum","nenhum","Cerambycidae Latreille, 1802","Cerambycidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Cerambycidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","15","02","2012","x","2012-02-15","15.II.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04796","nenhum","nenhum","Cerambycidae Latreille, 1802","Cerambycidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Cerambycidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","14","03","2012","x","2012-03-14","14.III.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04797","nenhum","nenhum","Cassidinae Gyllenhal, 1813","Cassidinae","Gyllenhal, 1813","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Cassidinae","x","x","x","x","x","x","subfamília","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","22","04","2012","x","2012-04-22","22.IV.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04798","nenhum","nenhum","Megalopodidae Latreille, 1802","Megalopodidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Megalopodidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","14","03","2012","x","2012-03-14","14.III.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04799","nenhum","nenhum","Cassidinae Gyllenhal, 1813","Cassidinae","Gyllenhal, 1813","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Cassidinae","x","x","x","x","x","x","subfamília","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","08","02","2012","x","2012-02-08","08.II.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04800","nenhum","nenhum","Curculionidae Latreille, 1802","Curculionidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Curculionidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","24","01","2012","x","2012-01-24","24.I.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04801","nenhum","nenhum","Ptilodactylidae Laporte, 1836","Ptilodactylidae","Laporte, 1836","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Ptilodactylidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","10","02","2012","x","2012-02-10","10.II.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04802","nenhum","nenhum","Cerambycidae Latreille, 1802","Cerambycidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Cerambycidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","07","02","2012","x","2012-02-07","07.II.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04803","nenhum","nenhum","Chrysomelidae Latreille, 1802","Chrysomelidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Chrysomelidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","10","02","2012","x","2012-02-10","10.II.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04804","nenhum","nenhum","Chrysomelidae Latreille, 1802","Chrysomelidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Chrysomelidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","09","02","2012","x","2012-02-09","09.II.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04805","nenhum","nenhum","Chrysomelidae Latreille, 1802","Chrysomelidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Chrysomelidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","21","04","2012","x","2012-04-21","21.IV.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04806","nenhum","nenhum","Curculionidae Latreille, 1802","Curculionidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Curculionidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","22","10","2011","x","2011-10-22","22.X.2011","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04807","nenhum","nenhum","Curculionidae Latreille, 1802","Curculionidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Curculionidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","16","03","2012","x","2012-03-16","16.III.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04808","nenhum","nenhum","Tenebrionidae Latreille, 1802","Tenebrionidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Tenebrionidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","24","01","2012","x","2012-01-24","24.I.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04809","nenhum","nenhum","Ptilodactylidae Laporte, 1836","Ptilodactylidae","Laporte, 1836","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Ptilodactylidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","16","03","2012","x","2012-03-16","16.III.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04810","nenhum","nenhum","Chrysomelidae Latreille, 1802","Chrysomelidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Chrysomelidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","24","01","2012","x","2012-01-24","24.I.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04811","nenhum","nenhum","Cerambycidae Latreille, 1802","Cerambycidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Cerambycidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","19","04","2012","x","2012-04-19","19.IV.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04812","nenhum","nenhum","Cerambycidae Latreille, 1802","Cerambycidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Cerambycidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","22","04","2012","x","2012-04-22","22.IV.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04813","nenhum","nenhum","Curculionidae Latreille, 1802","Curculionidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Curculionidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","21","04","2012","x","2012-04-21","21.IV.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,3,"CEUFMS 04814","nenhum","nenhum","Tenebrionidae Latreille, 1802","Tenebrionidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Tenebrionidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Godoi, M. N.","x","x","14","03","2012","x","2012-03-14","14.III.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
