"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Tribo","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 280","x","00276","amarelo","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","x","x","x","x","x","x","família","verificar taxonomia","x","x","ICZN","x","x","x","x","x",1032,"x","x","x","x","x","x","x","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 281","x","00277","amarelo","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","Arctiinae","x","x","x","x","x","subfamília","verificar taxonomia","Arctiinae-01","x","ICZN","x","MARINI, A. C.","1995-03-20","x","MARINI, A. C. et al.",228,"x","16","09","1993","x","x","16.IX.1993","isca luminosa","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Base de Estudos do Pantanal - UFMS; Mata Ciliar do Rio Miranda","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 282","x","00278","verde","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","Arctiinae","x","x","x","x","x","subfamília","verificar taxonomia","Arctiinae-21","x","ICZN","x","MARINI, A. C.","1997-10-06","x","MARINI, A. C. et al.",2240,"x","16","09","1993",18:00:00,"x","16.IX.1993","isca luminosa","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Base de Estudos do Pantanal - UFMS; Mata Ciliar do Rio Miranda","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","Material a ser identificado em MG","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 283","x","00279","amarelo","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","Arctiinae","x","x","x","x","x","subfamília","verificar taxonomia","Arctiinae-21","x","ICZN","x","MARINI, A. C.","1996-05-30","x","MARINI, A. C. et al.",891,"x","24","10","1995",02:00:00,"x","24.X.1995","isca luminosa","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Paratudal","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 284","x","00280","amarelo","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","Arctiinae","x","x","x","x","x","subfamília","verificar taxonomia","Arctiinae-21","x","ICZN","x","MARINI, A. C.","1996-05-30","x","MARINI, A. C. et al.",893,"x","24","10","1995",02:00:00,"x","24.X.1995","isca luminosa","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Paratudal","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 285","x","00281","amarelo","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","Arctiinae","x","x","x","x","x","subfamília","verificar taxonomia","Arctiinae-21","x","ICZN","x","MARINI, A. C.","1996-05-30","x","MARINI, A. C. et al.",892,"x","24","10","1995",02:00:00,"x","24.X.1995","isca luminosa","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Paratudal","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 286","x","00282","amarelo","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","x","x","x","x","x","x","família","verificar taxonomia","x","x","ICZN","x","x","x","x","x",3325,"x","x","x","x","x","x","x","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 287","x","00283","amarelo","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","x","x","x","x","x","x","família","verificar taxonomia","x","x","ICZN","x","x","x","x","x",3458,"x","x","x","x","x","x","x","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 288","x","00284","amarelo","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","x","x","x","x","x","x","família","verificar taxonomia","x","x","ICZN","x","x","x","x","x",1259,"x","x","x","x","x","x","x","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 289","x","00285","amarelo","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","x","x","x","x","x","x","família","verificar taxonomia","x","x","ICZN","x","x","x","x","x",968,"x","x","x","x","x","x","x","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","x","x"
