"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Classe","Ordem","Família","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial:shelfLocation","artificial:flaskLocation","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial:shippingGuide","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2017-08-30","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ACA00001","armário coleção úmida de invertebrados","ACAA","x","nenhum","nenhum","Acanthocephala","Acanthocephala","x","Animalia","Acanthocephala","x","x","x","x","x","x","x","filo","x","x","x","ICZN","x","Campião, K.","x","x","Campião, K. et al.","93","x","03","02","2011","x","x","03.II.2011","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","x","WGS84","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)",9,"x","x","x","x","selvagem","x","parasita de Phyllomedusa azurea (Amphibia: Hylidae)","em coleção","x","x","x","material em estudo por Carla Kampião","x","x","br:UFMS:ZUFMS:ZUFMS-ACA00001","x"
"2017-08-30","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ACA00002","armário coleção úmida de invertebrados","ACAA","x","nenhum","nenhum","Acanthocephala","Acanthocephala","x","Animalia","Acanthocephala","x","x","x","x","x","x","x","filo","x","x","x","ICZN","x","Silva, I. C. O. ","2016","x","Silva, I. C. O. ","x","x","17","02","2012",08:00:00,"x","17.II.2012","necropsia","Pantanal","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","x","WGS84","x",89,106,"x","x","x","x","animal inteiro (ETOH 70%)",1,"x","x","jovem","não reprodutivo","selvagem","x","parasita de Pseudis paradoxa (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Isabela Caroline Oliveira da Silva","x","x","br:UFMS:ZUFMS:ZUFMS-ACA00002","x"
"2021-07-15","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ACA00003","organizar","ACAB","nenhum","nenhum","nenhum","Centrorhynchidae Van Cleave, 1916","Centrorhynchidae","Van Cleave, 1916","Animalia","Acanthocephala","Palaeacanthocephala","Polymorphida","Centrorhynchidae","x","x","x","x","família","aceito","x","x","ICZN","x","SILVA, I. C. O.","2020-09-23","voucher","SILVA, I. C. O.","206","x","26","01","2019","13:00:00/17:00:00","2019-01-26","26.I.2019","necropsia","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Alcinópolis","x","Parque Estadual das Nascentes do Rio Taquari","18°09'54.5""S","53°24'56.9""W","-18.165139","-53.415806","nulo","WGS84","x","nulo ","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"x","não informado","adulto","indeterminado","selvagem","parasitando","nenhuma","em tombamento","x","x","x","Laboratório de Parasitologia Animal; Doutorado Isabela Caroline Oliveira da Silva","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ACA00003","x"
"2021-07-15","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ACA00004","organizar","ACAC","nenhum","nenhum","nenhum","Oligacanthorhynchus sp. Travassos, 1915","Oligacanthorhynchus","Travassos, 1915","Animalia","Acanthocephala","Archiacanthocephala","Oligacanthorhynchida","Oligacanthorhynchidae","Oligacanthorhynchus","x","x","x","gênero","aceito","x","x","ICZN","sp.","SILVA, I. C. O.","2020-09-23","voucher","SILVA, I. C. O.","208","x","27","01","2019","13:00:00/17:00:00","2019-01-27","27.I.2019","necropsia","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Alcinópolis","x","Parque Estadual das Nascentes do Rio Taquari","18°09'54.5""S","53°24'56.9""W","-18.165139","-53.415806","nulo","WGS84","x","nulo ","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"x","não informado","adulto","não reprodutivo","selvagem","parasitando","nenhuma","em tombamento","x","x","x","Laboratório de Parasitologia Animal; Doutorado Isabela Caroline Oliveira da Silva","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ACA00004","x"
"2021-07-15","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ACA00005","organizar","ACAC","nenhum","nenhum","nenhum","Oligacanthorhynchidae Southwell & Macfie, 1925","Oligacanthorhynchidae","Southwell & Macfie, 1925","Animalia","Acanthocephala","Archiacanthocephala","Oligacanthorhynchida","Oligacanthorhynchidae","x","x","x","x","família","aceito","x","x","ICZN","x","SILVA, I. C. O.","2020-09-23","voucher","SILVA, I. C. O.","219","x","29","01","2019","13:00:00/17:00:00","2019-01-29","29.I.2019","necropsia","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Alcinópolis","x","Parque Estadual das Nascentes do Rio Taquari","18°09'54.5""S","53°24'56.9""W","-18.165139","-53.415806","nulo","WGS84","x","nulo ","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"x","não informado","adulto","indeterminado","selvagem","parasitando","nenhuma","em tombamento","x","x","x","Laboratório de Parasitologia Animal; Doutorado Isabela Caroline Oliveira da Silva","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ACA00005","x"
"2021-07-15","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ACA00006","organizar","ACAB","nenhum","nenhum","nenhum","Centrorhynchus sp. Lühe, 1911","Centrorhynchus","Lühe, 1911","Animalia","Acanthocephala","Palaeacanthocephala","Polymorphida","Centrorhynchidae","Centrorhynchus","x","x","x","gênero","aceito","x","x","ICZN","sp.","SILVA, I. C. O.","2020-09-23","voucher","SILVA, I. C. O.","234","x","02","02","2019","13:00:00/17:00:00","2019-02-02","02.II.2019","necropsia","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Alcinópolis","x","Parque Estadual das Nascentes do Rio Taquari","18°09'54.5""S","53°24'56.9""W","-18.165139","-53.415806","nulo","WGS84","x","nulo ","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"x","não informado","adulto","indeterminado","selvagem","parasitando","nenhuma","em tombamento","x","x","x","Laboratório de Parasitologia Animal; Doutorado Isabela Caroline Oliveira da Silva","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ACA00006","x"
