"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Infraordem","Família","Subfamília","Tribo","Subtribo","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","coleção úmida","x","CEUFMS 06313","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera","Heteroptera","Pentatomorpha","Scutelleridae","x","x","x","x","x","x","x","família","aceito","x","x","x","x","x","x","x","Godoi, M. N.","x","x","20","04","2012","x","x","20.IV.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","caixa sala Gustavo Graciolli ","CEUFMS 09803","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","Heteroptera","Pentatomorpha","Scutelleridae ","x","x","x","x","x","x","x","família","aceito","x","x","x","x","x","x","x","Ribas, A.","x","x","20","11","2008","x","x","20.XI.2008","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande ","x","Embrapa ","20°26'36.65""S","54°43'30.60""W","-20.443514","-54.725167","x","WGS84","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","caixa sala Gustavo Graciolli ","CEUFMS 09804","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","Heteroptera","Pentatomorpha","Scutelleridae ","x","x","x","x","x","x","x","família","aceito","x","x","x","x","x","x","x","Ribas, A.","x","x","20","11","2008","x","x","20.XI.2008","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande ","x","Embrapa ","20°26'36.65""S","54°43'30.60""W","-20.443514","-54.725167","x","WGS84","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","caixa sala Gustavo Graciolli ","CEUFMS 09805","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","Heteroptera","Pentatomorpha","Scutelleridae ","x","x","x","x","x","x","x","família","aceito","x","x","x","x","x","x","x","Ribas, A.","x","x","20","11","2008","x","x","20.XI.2008","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande ","x","Embrapa ","20°26'36.65""S","54°43'30.60""W","-20.443514","-54.725167","x","WGS84","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","caixa sala Gustavo Graciolli ","CEUFMS 09806","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","Heteroptera","Pentatomorpha","Scutelleridae ","x","x","x","x","x","x","x","família","aceito","x","x","x","x","x","x","x","Ribas, A.","x","x","27","11","2008","x","x","27.XI.2008","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande ","x","Embrapa ","20°26'36.65""S","54°43'30.60""W","-20.443514","-54.725167","x","WGS84","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","caixa sala Gustavo Graciolli ","CEUFMS 09807","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","Heteroptera","Pentatomorpha","Scutelleridae ","x","x","x","x","x","x","x","família","aceito","x","x","x","x","x","x","x","Ribas, A.","x","x","27","11","2008","x","x","27.XI.2008","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande ","x","Embrapa ","20°26'36.65""S","54°43'30.60""W","-20.443514","-54.725167","x","WGS84","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x",6,"5a","CEUFMS 07261","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera","Heteroptera","Pentatomorpha","Thyreocoridae","x","x","x","x","x","x","x","família","aceito","x","x","x","x","x","x","x","Ribas, A.","x","x","17","10","2008","x","x","17.X.2008","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Embrapa ","20°26'36.60""S","54°43'30.60""W","-20.443500","-54.725167","x","WGS84","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","rever identificação; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","x","CEUFMS 09674","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","Auchenorrhyncha","x","Cicadedae ","x","x","x","x","x","x","x","família","aceito","x","x","x","x","x","x","x","Silva, H. M.","x","x","21","10","2010","x","x","21.X.2010","x","x","x","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Campo Grande ","x","Bairro Santo Antônio ","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","rever identificação; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","x","CEUFMS 09670","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","x","Cicadedae ","x","x","x","x","x","x","x","família","aceito","x","x","x","x","x","x","x","Maier, J. E.","x","x","15","10","2007","x","x","15.X.2007","x","x","x","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Campo Grande ","x","Universidade Federal do Mato Grosso do Sul","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","rever identificação; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","x","CEUFMS 09675","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","Auchenorrhyncha","x","Cicadedae ","x","x","x","x","x","x","x","família","aceito","x","x","x","x","x","x","x","Otero, I. V. R.","x","x","01","10","2010","x","x","01.X.2010","x","x","x","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Campo Grande ","x","Universidade Federal do Mato Grosso do Sul","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
