"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização no Armário (Gaveta/Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Tribo","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2017-07-27","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT00697","ARM006 ZUFMS seca","GAV 112","DZRJ-ORT00635","nenhum","nenhum","Temnomastax monnei Olivier, 2019 sp. nov.","Temnomastax monnei","Rehn & Rehn, 1942","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Eumastacidae","Temnomastacinae","Temnomastacini","Temnomastax","x","monnei","x","espécie","aceito","x","indeterminado","ICZN","sp. nov.","OLIVIER, R. S.","2017-03","parátipo","GOLÇALVES, C. G.; CAMISÃO, B. M. & TAKIYA, D. M.","x","x","25","10","2013","x","2013-10-25","25.X.2013","varredura","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Goiás","Alto Paraíso de Goiás","x","Parque Nacional da Chapada dos Veadeiros","14°10'05""S","47°49'16""W","-14.168056","-47.821111","x","WGS84","x","941","941","nenhum","nulo","nulo","trilha para o cânion","animal inteiro (alfinetado)",1,"fêmea","não informado","adulto","não informado","selvagem","não informado","doação DZRJ Ort 0635","em coleção","x","x","ainda não publicada","doação DZRJ Ort 0635; descrito por Renan Olivier","nenhuma","Cigliano et al., 2020","br:UFMS:ZUFMS:ZUFMS-ORT00697","x"
"2017-07-27","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT00698","ARM006 ZUFMS seca","GAV 112","nenhum","nenhum","nenhum","Temnomastax descampsi Olivier, 2019 sp. nov.","Temnomastax descampsi","Rehn & Rehn, 1942","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Eumastacidae","Temnomastacinae","Temnomastacini","Temnomastax","x","descampsi","x","espécie","aceito","x","indeterminado","ICZN","sp. nov.","OLIVIER, R. S.","2017-06","parátipo","MELLO PATIU; PATIU","x","x","23","01","2012","x","2012-01-15/2012-01-23","23.I.2012","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso","Chapada dos Guimarães","x","x","15°24'21.80""S","55°50'07.50""W","-15.406056","-55.835417","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","adulto","não informado","selvagem","não informado","doação MNRJ; genitália em frasco","em coleção","x","x","ainda não publicada","doação MNRJ; doação SISBIOTA CNPq/FAPESP; descrito por Renan Olivier","nenhuma","Cigliano et al., 2020","br:UFMS:ZUFMS:ZUFMS-ORT00698","x"
"2017-08-10","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT00699","ARM006 ZUFMS seca","GAV 112","nenhum","frasco contendo genitália em glicerina; lâmina contendo tégmina direita","junto ao exemplar; em laminário na gaveta","Temnomastax descampsi Olivier, 2019 sp. nov.","Temnomastax descampsi","Rehn & Rehn, 1942","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Eumastacidae","Temnomastacinae","Temnomastacini","Temnomastax","x","descampsi","x","espécie","aceito","x","indeterminado","ICZN","sp. nov.","OLIVIER, R. S.","2017-06","parátipo","MELLO PATIU; PATIU","x","x","23","01","2012","x","2012-01-15/2012-01-23","23.I.2012","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso","Chapada dos Guimarães","x","x","15°24'21.80""S","55°50'07.50""W","-15.406056","-55.835417","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","adulto","não informado","selvagem","não informado","doação MNRJ; genitália em frasco; tégmina e asa direita dissecadas em lâmina","em coleção","x","x","ainda não publicada","doação MNRJ; doação SISBIOTA CNPq/FAPESP; descrito por Renan Olivier","nenhuma","Cigliano et al., 2020","br:UFMS:ZUFMS:ZUFMS-ORT00699","x"
"2017-07-27","devolvido","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT00700","Sala Coleção Seca I","GAV110","DZRJ-ORT00312","nenhum","nenhum","Paramastax flavovittata Descamps, 1973","Paramastax flavovittata","Descamps, 1973","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Eumastacidae","Temnomastacinae","Temnomastacini","Paramastax","x","flavovittata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2016","voucher","CAVICHIOLI, R. R.; RAFAEL, J. A.; SANTOS, A. P. M. & TAKIYA, D. M.","x","x","22","08","2012","x","2012-08-18/2012-08-22","22.VIII.2012","malaise","não informado","nenhuma","nenhuma","América do Sul","Peru","PER","x","Madre de Dios","x","x","Ponte Amanapu; 12 rodovia km E Mazuko","13°02'51.10""S","70°20'45.90""W","-13.047528","-70.346083","x","WGS84","x","382","382","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","adulto","não informado","selvagem","não informado","conferir localidade; doação DZRJ Ort 0312; material em estudo por Renan Olivier","em coleção","x","x","x","Doação DZRJ, intermediado por Renan Olivier","nenhuma","Cigliano et al., 2020","br:UFMS:ZUFMS:ZUFMS-ORT00700","x"
"2017-07-27","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT00701","ARM006 ZUFMS seca","GAV 112","DZRJ-ORT00637","frasco contendo genitália em glicerina","junto ao exemplar","Temnomastax monnei Olivier, 2019","Temnomastax monnei","Rehn & Rehn, 1942","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Eumastacidae","Temnomastacinae","Temnomastacini","Temnomastax","x","monnei","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2017","voucher","GOLÇALVES, C. G.; CAMISÃO, B. M. & TAKIYA, D. M.","x","x","25","10","2013","x","2013-10-25","25.X.2013","varredura","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Goiás","Alto Paraíso de Goiás","x","Parque Nacional da Chapada dos Veadeiros","14°10'05""S","47°49'16""W","-14.168056","-47.821111","x","WGS84","x","941","941","nenhum","nulo","nulo","trilha para o cânion","animal inteiro (alfinetado)",1,"macho","não informado","jovem","não reprodutivo","selvagem","não informado","doação DZRJ Ort 0637; genitália em frasco","em coleção","x","x","ainda não publicada","doação DZRJ Ort 0637; descrito por Renan Olivier","nenhuma","Cigliano et al., 2020","br:UFMS:ZUFMS:ZUFMS-ORT00701","x"
"2017-07-27","devolvido","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT00702","Sala Coleção Seca I","GAV110","nenhum","nenhum","nenhum","Pseudomastacops sinopensis Descamps, 1982","Pseudomastacops sinopensis","Descamps, 1982","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Eumastacidae","Temnomastacinae","Eumastacopini","Pseudeumastacops","x","sinopensis","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2016","voucher","LIMA, M.","x","x","10","08","2011","x","2011-08-10","10.VIII.2011","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso","Apiacás","x","Paque Nacional do Juruena","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","adulto","não informado","selvagem","não informado","doação UNEMAT - Alta Floresta; material em estudo por Renan Olivier","em coleção","x","x","x","x","nenhuma","Cigliano et al., 2020","br:UFMS:ZUFMS:ZUFMS-ORT00702","x"
"2017-07-27","devolvido","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT00703","Sala Coleção Seca I","GAV110","nenhum","nenhum","nenhum","Pseudomastacops sinopensis Descamps, 1982","Pseudomastacops sinopensis","Descamps, 1982","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Eumastacidae","Temnomastacinae","Eumastacopini","Pseudeumastacops","x","sinopensis","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2016","voucher","LIMA, M.","x","x","10","08","2011","x","2011-08-10","10.VIII.2011","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso","Apiacás","x","Paque Nacional do Juruena","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","adulto","não informado","selvagem","não informado","doação UNEMAT - Alta Floresta; material em estudo por Renan Olivier","em coleção","x","x","x","x","nenhuma","Cigliano et al., 2020","br:UFMS:ZUFMS:ZUFMS-ORT00703","x"
"2017-07-27","devolvido","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT00704","Sala Coleção Seca I","GAV110","nenhum","frasco contendo genitália em glicerina","junto ao exemplar","Pseudomastacops militaris Gerstaecker, 1889","Pseudomastacops militaris","Gerstaecker, 1889","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Eumastacidae","Temnomastacinae","Eumastacopini","Pseudeumastacops","x","militaris","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2016","voucher","MILTON, R.; MOYSES, E.","x","x","09","09","2011","x","2011-09-02/2011-09-09","09.IX.2011","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Rondônia","Porto Velho","x","Modúlo Teotônio; próximo ao Rio Madeira","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","adulto","não informado","selvagem","não informado","conferir localidade; doação Dra. Kátia Matiotti (PUCRS) para Renan Olivier (UFMS); material em estudo por Renan Olivier","em coleção","x","x","x","Doação Dra. Kátia Matiotti (PUCRS) para Renan Olivier (UFMS); material em estudo por Renan Olivier","nenhuma","Cigliano et al., 2020","br:UFMS:ZUFMS:ZUFMS-ORT00704","x"
"2017-07-27","devolvido","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT00705","Sala Coleção Seca I","GAV110","nenhum","nenhum","nenhum","Pseudomastacops militaris Gerstaecker, 1889","Pseudomastacops militaris","Gerstaecker, 1889","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Eumastacidae","Temnomastacinae","Eumastacopini","Pseudeumastacops","x","militaris","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2016","voucher","MILTON, R.; MOYSES, E.","x","x","09","09","2011","x","2011-09-02/2011-09-09","09.IX.2011","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Rondônia","Porto Velho","x","Modúlo Teotônio; próximo ao Rio Madeira","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","adulto","não informado","selvagem","não informado","conferir localidade; doação Dra. Kátia Matiotti (PUCRS) para Renan Olivier (UFMS); material em estudo por Renan Olivier","em coleção","x","x","x","Doação Dra. Kátia Matiotti (PUCRS) para Renan Olivier (UFMS); material em estudo por Renan Olivier","nenhuma","Cigliano et al., 2020","br:UFMS:ZUFMS:ZUFMS-ORT00705","x"
"2017-07-27","devolvido","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT00706","Sala Coleção Seca I","GAV110","nenhum","nenhum","nenhum","Pseudomastacops militaris Gerstaecker, 1889","Pseudomastacops militaris","Gerstaecker, 1889","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Eumastacidae","Temnomastacinae","Eumastacopini","Pseudeumastacops","x","militaris","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2016","voucher","MILTON, R.; MOYSES, E.","x","x","09","09","2011","x","2011-09-02/2011-09-09","09.IX.2011","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Rondônia","Porto Velho","x","Modúlo Teotônio; próximo ao Rio Madeira","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","adulto","não informado","selvagem","não informado","conferir localidade; doação Dra. Kátia Matiotti (PUCRS) para Renan Olivier (UFMS); material em estudo por Renan Olivier","em coleção","x","x","x","Doação Dra. Kátia Matiotti (PUCRS) para Renan Olivier (UFMS); material em estudo por Renan Olivier","nenhuma","Cigliano et al., 2020","br:UFMS:ZUFMS:ZUFMS-ORT00706","x"
