"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização no Armário (Gaveta/Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Tribo","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial","artificial","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","artificial","class","order","artificial","family","artificial","artificial","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00529","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","BONFIETTI, L. X.","x","voucher","BONFIETTI, L. X.","x","x","03","10","2005","x","2005-10-03","03.X.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","estava marcado como Phasmantodea, mas é Orthoptera?","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00496","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","BONFIETTI, L. X.","x","voucher","BONFIETTI, L. X.","x","x","18","10","2005","x","2005-10-18","18.X.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00490","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","CILVA, C. L.","x","voucher","SOARES, M. A. A.","x","x","03","05","2005","x","2005-05-03","03.V.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00506","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","CILVA, C. L.","x","voucher","CILVA, C. L.","x","x","12","06","2005","x","2005-06-12","12.VI.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00513","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","CILVA, C. L.","x","voucher","CILVA, C. L.","x","x","12","06","2005","x","2005-06-12","12.VI.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00509","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","COLMAN, T. A.","x","voucher","COLMAN, T. A.","x","x","11","08","2005","x","2005-08-11","11.VIII.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00511","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","COLMAN, T. A.","x","voucher","COLMAN, T. A.","x","x","11","08","2005","x","2005-08-11","11.VIII.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00501","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","COLMAN, T. A.","x","voucher","COLMAN, T.","x","x","21","09","2005","x","2005-09-21","21.IX.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00505","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","DIAS, F. F.","x","voucher","DIAS, F. F.","x","x","12","06","2005","x","2005-06-12","12.VI.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00515","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","DIAS, O. T.","x","voucher","DIAS, O. T.","x","x","27","08","2006","x","2006-08-27","27.VIII.2006","não informado","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Base de Estudos do Pantanal - UFMS","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00503","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","DIAS, O. T.","x","voucher","RESTEL, A.","x","x","19","11","2006","x","2006-11-19","19.XI.2006","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...","Renan",405,"CEUFMS 12379","nenhum","nenhum","Ommexecha virens Serville, 1831","Ommexecha virens","Serville, 1831","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Ommexechidae","Ommexechinae","Ommexechini","Ommexecha","x","virens","x","espécie","aceito","x","indeterminado","ICZN","x","DOMENICO, F. C. ","2013","voucher","OLIVIER, R. S.","x","x","17","05","2013","x","2013-05-17","17.V.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Ribas do Rio Pardo ","x","Fazenda Santa Fé ","21°04'16.16""S","53°41'06.90""W","-21.071156","-53.685250","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","procurar dados ","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...","Renan",391,"CEUFMS 12380","nenhum","nenhum","Ommexecha virens Serville, 1831","Ommexecha virens","Serville, 1831","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Ommexechidae","Ommexechinae","Ommexechini","Ommexecha","x","virens","x","espécie","aceito","x","indeterminado","ICZN","x","DOMENICO, F. C. ","2013","voucher","OLIVIER, R. S.","x","x","17","05","2013","x","2013-05-17","17.V.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Ribas do Rio Pardo ","x","Fazenda Santa Fé ","21°04'16.16""S","53°41'06.90""W","-21.071156","-53.685250","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","procurar dados ","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...","Renan",394,"CEUFMS 12381","nenhum","nenhum","Ommexecha virens Serville, 1831","Ommexecha virens","Serville, 1831","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Ommexechidae","Ommexechinae","Ommexechini","Ommexecha","x","virens","x","espécie","aceito","x","indeterminado","ICZN","x","DOMENICO, F. C. ","2013","voucher","OLIVIER, R. S.","x","x","17","05","2013","x","2013-05-17","17.V.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Ribas do Rio Pardo ","x","Fazenda Santa Fé ","21°04'16.16""S","53°41'06.90""W","-21.071156","-53.685250","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","procurar dados ","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...","Renan",370,"CEUFMS 12382","nenhum","nenhum","Ommexecha virens Serville, 1831","Ommexecha virens","Serville, 1831","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Ommexechidae","Ommexechinae","Ommexechini","Ommexecha","x","virens","x","espécie","aceito","x","indeterminado","ICZN","x","DOMENICO, F. C. ","2013","voucher","OLIVIER, R. S.","x","x","17","05","2013","x","2013-05-17","17.V.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Ribas do Rio Pardo ","x","Fazenda Santa Fé ","21°04'16.16""S","53°41'06.90""W","-21.071156","-53.685250","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","procurar dados ","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...","Renan",368,"CEUFMS 12383","nenhum","nenhum","Ommexecha virens Serville, 1831","Ommexecha virens","Serville, 1831","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Ommexechidae","Ommexechinae","Ommexechini","Ommexecha","x","virens","x","espécie","aceito","x","indeterminado","ICZN","x","DOMENICO, F. C. ","2013","voucher","OLIVIER, R. S.","x","x","17","05","2013","x","2013-05-17","17.V.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Ribas do Rio Pardo ","x","Fazenda Santa Fé ","21°04'16.16""S","53°41'06.90""W","-21.071156","-53.685250","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","procurar dados ","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...","Renan",362,"CEUFMS 12384","nenhum","nenhum","Ommexecha virens Serville, 1831","Ommexecha virens","Serville, 1831","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Ommexechidae","Ommexechinae","Ommexechini","Ommexecha","x","virens","x","espécie","aceito","x","indeterminado","ICZN","x","DOMENICO, F. C. ","2013","voucher","OLIVIER, R. S.","x","x","17","05","2013","x","2013-05-17","17.V.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Ribas do Rio Pardo ","x","Fazenda Santa Fé ","21°04'16.16""S","53°41'06.90""W","-21.071156","-53.685250","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","procurar dados ","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...","Renan",379,"CEUFMS 12385","nenhum","nenhum","Ommexecha virens Serville, 1831","Ommexecha virens","Serville, 1831","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Ommexechidae","Ommexechinae","Ommexechini","Ommexecha","x","virens","x","espécie","aceito","x","indeterminado","ICZN","x","DOMENICO, F. C. ","2013","voucher","OLIVIER, R. S.","x","x","17","05","2013","x","2013-05-17","17.V.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Ribas do Rio Pardo ","x","Fazenda Santa Fé ","21°04'16.16""S","53°41'06.90""W","-21.071156","-53.685250","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","procurar dados ","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...","Renan",390,"CEUFMS 12386","nenhum","nenhum","Ommexecha virens Serville, 1831","Ommexecha virens","Serville, 1831","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Ommexechidae","Ommexechinae","Ommexechini","Ommexecha","x","virens","x","espécie","aceito","x","indeterminado","ICZN","x","DOMENICO, F. C. ","2013","voucher","OLIVIER, R. S.","x","x","17","05","2013","x","2013-05-17","17.V.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Ribas do Rio Pardo ","x","Fazenda Santa Fé ","21°04'16.16""S","53°41'06.90""W","-21.071156","-53.685250","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","jovem","não reprodutivo","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...","Renan",403,"CEUFMS 12387","nenhum","nenhum","Ommexecha virens Serville, 1831","Ommexecha virens","Serville, 1831","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Ommexechidae","Ommexechinae","Ommexechini","Ommexecha","x","virens","x","espécie","aceito","x","indeterminado","ICZN","x","DOMENICO, F. C. ","2013","voucher","OLIVIER, R. S.","x","x","17","05","2013","x","2013-05-17","17.V.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Ribas do Rio Pardo ","x","Fazenda Santa Fé ","21°04'16.16""S","53°41'06.90""W","-21.071156","-53.685250","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","jovem","não reprodutivo","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...","Renan",396,"CEUFMS 12388","nenhum","nenhum","Ommexecha virens Serville, 1831","Ommexecha virens","Serville, 1831","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Ommexechidae","Ommexechinae","Ommexechini","Ommexecha","x","virens","x","espécie","aceito","x","indeterminado","ICZN","x","DOMENICO, F. C. ","2013","voucher","OLIVIER, R. S.","x","x","17","05","2013","x","2013-05-17","17.V.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Ribas do Rio Pardo ","x","Fazenda Santa Fé ","21°04'16.16""S","53°41'06.90""W","-21.071156","-53.685250","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...","Renan",387,"CEUFMS 12389","nenhum","nenhum","Ommexecha virens Serville, 1831","Ommexecha virens","Serville, 1831","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Ommexechidae","Ommexechinae","Ommexechini","Ommexecha","x","virens","x","espécie","aceito","x","indeterminado","ICZN","x","DOMENICO, F. C. ","2013","voucher","OLIVIER, R. S.","x","x","17","05","2013","x","2013-05-17","17.V.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Ribas do Rio Pardo ","x","Fazenda Santa Fé ","21°04'16.16""S","53°41'06.90""W","-21.071156","-53.685250","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...","Renan",395,"CEUFMS 12390","nenhum","nenhum","Ommexecha virens Serville, 1831","Ommexecha virens","Serville, 1831","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Ommexechidae","Ommexechinae","Ommexechini","Ommexecha","x","virens","x","espécie","aceito","x","indeterminado","ICZN","x","DOMENICO, F. C. ","2013","voucher","OLIVIER, R. S.","x","x","17","05","2013","x","2013-05-17","17.V.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Ribas do Rio Pardo ","x","Fazenda Santa Fé ","21°04'16.16""S","53°41'06.90""W","-21.071156","-53.685250","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...","Renan",400,"CEUFMS 12391","nenhum","nenhum","Ommexecha virens Serville, 1831","Ommexecha virens","Serville, 1831","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Ommexechidae","Ommexechinae","Ommexechini","Ommexecha","x","virens","x","espécie","aceito","x","indeterminado","ICZN","x","DOMENICO, F. C. ","2013","voucher","OLIVIER, R. S.","x","x","17","05","2013","x","2013-05-17","17.V.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Ribas do Rio Pardo ","x","Fazenda Santa Fé ","21°04'16.16""S","53°41'06.90""W","-21.071156","-53.685250","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...","Renan",386,"CEUFMS 12393","nenhum","nenhum","Ommexecha virens Serville, 1831","Ommexecha virens","Serville, 1831","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Ommexechidae","Ommexechinae","Ommexechini","Ommexecha","x","virens","x","espécie","aceito","x","indeterminado","ICZN","x","DOMENICO, F. C. ","2013","voucher","OLIVIER, R. S.","x","x","17","05","2013","x","2013-05-17","17.V.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Ribas do Rio Pardo ","x","Fazenda Santa Fé ","21°04'16.16""S","53°41'06.90""W","-21.071156","-53.685250","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...","Renan",392,"CEUFMS 12394","nenhum","nenhum","Ommexecha virens Serville, 1831","Ommexecha virens","Serville, 1831","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Ommexechidae","Ommexechinae","Ommexechini","Ommexecha","x","virens","x","espécie","aceito","x","indeterminado","ICZN","x","DOMENICO, F. C. ","2013","voucher","OLIVIER, R. S.","x","x","17","05","2013","x","2013-05-17","17.V.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Ribas do Rio Pardo ","x","Fazenda Santa Fé ","21°04'16.16""S","53°41'06.90""W","-21.071156","-53.685250","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...","Renan",384,"CEUFMS 12395","nenhum","nenhum","Ommexecha virens Serville, 1831","Ommexecha virens","Serville, 1831","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Ommexechidae","Ommexechinae","Ommexechini","Ommexecha","x","virens","x","espécie","aceito","x","indeterminado","ICZN","x","DOMENICO, F. C. ","2013","voucher","OLIVIER, R. S.","x","x","17","05","2013","x","2013-05-17","17.V.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Ribas do Rio Pardo ","x","Fazenda Santa Fé ","21°04'16.16""S","53°41'06.90""W","-21.071156","-53.685250","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"macho","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
