"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Prateleira)","Localização na Coleção (Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Superordem","Ordem","Subordem","Família","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial:shelfLocation","artificial:flaskLocation","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","artificial:subphylum","class","artificial:superorder","order","artificial:suborder","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial:shippingGuide","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2021-11-01","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PSO00001","organizar","organizar","nenhum","nenhum","nenhum","Lepidopsocidae Enderlein, 1903","Lepidopsocidae","Enderlein, 1903","Animalia","Arthropoda","Hexapoda","Insecta","Psocodea","Psocoptera","Trogiomorpha","Lepidopsocidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","ANTÔNIO-SILVA, L.","2019-10-15","voucher","LUCON, T. N.","MS029","x","13","06","2019",14:00:00,"2019-06-13","13.VI.2019","busca ativa","Mata seca associada a afloramento calcário","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","x","Serra das Três Cruzes","20°32'30.97""S","56°44'16.96""W","-20.541938","-56.738044",9,"SIRGAS2000","GPS: 020°30'00""S--020°33'00""S/056°44'56""W--056°41'57""W","241","241","nenhum","nulo","nulo","coletado no Abrigo MS72","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","não reprodutivo","selvagem","forrageando","nenhuma","em coleção","x","CARMO, Thais Oliveira. Psocoptera em cavernas do Brasil: Riqueza, composição e Distribuição. Tese Universidade Fedral de Lavras. 2009.","x","Projeto Filitos Sul, InterCement Brasil S.A ","nenhuma","ITIS, 2021","x","x"
"2021-11-01","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PSO00002","organizar","organizar","nenhum","nenhum","nenhum","Psyllipsocidae Lienhard & Smithers, 2002","Psyllipsocidae","Lienhard & Smithers, 2002","Animalia","Arthropoda","Hexapoda","Insecta","Psocodea","Psocoptera","Trogiomorpha","Psyllipsocidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","ANTÔNIO-SILVA, L.","2019-10-15","voucher","LUCON, T. N.","MS030","x","12","06","2019",16:00:00,"2019-06-12","12.VI.2019","busca ativa","Mata seca associada a afloramento calcário","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","x","Serra das Três Cruzes","20°32'25.63""S","56°44'12.27""W","-20.540454","-56.736742",10,"SIRGAS2000","GPS: 020°30'00""S--020°33'00""S/056°44'56""W--056°41'57""W","285","285","nenhum","nulo","nulo","coletado no Abrigo MS60","lote de animais inteiros (ETOH 70%)",3,"indeterminado","não informado","adultos","não reprodutivo","selvagem","forrageando","nenhuma","em coleção","x","CARMO, Thais Oliveira. Psocoptera em cavernas do Brasil: Riqueza, composição e Distribuição. Tese Universidade Fedral de Lavras. 2009.","x","Projeto Filitos Sul, InterCement Brasil S.A ","nenhuma","ITIS, 2021","x","x"
