"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Prateleira)","Localização na Coleção (Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Classe","Ordem","Família","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00061","x","x","MOL112","nenhum","nenhum","Pomacea canaliculata (Lamarck, 1822)","Pomacea canaliculata","(Lamarck, 1822)","Animalia","Mollusca","Gastropoda","Architaenioglossa","Ampullariidae","Pomacea","x","canaliculata","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1991-04-16","voucher","LOUZAN, J. C.","x","x","16","04","1991","x","x","16.IV.1991","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","x","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",1,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00061","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00062","x","x","MOL115","nenhum","nenhum","Marisa cornuarietis (Linnaeus, 1758)","Marisa cornuarietis","(Linnaeus, 1758)","Animalia","Mollusca","Gastropoda","Architaenioglossa","Ampullariidae","Marisa","x","cornuarietis","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1988-01-13","voucher","SOUZA, L. O. I.","x","x","13","01","1988","x","x","13.I.1988","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","x","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","animal inteiro (ETOH 70%)",13,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00062","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00063","x","x","MOL116","nenhum","nenhum","Anodontites trapesialis forbesianus (Lea, 1860)","Anodontites trapesialis forbesianus","(Lea, 1860)","Animalia","Mollusca","Bivalvia","Unionoida","Mycetopodidae","Anodontites","x","trapesialis","forbesianus","subespécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1988-01-28","voucher","SOUZA, L. O. I.","x","x","28","01","1988","x","x","28.I.1988","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Pantanal do Abobral","x","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","animal inteiro (ETOH 70%)",1,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00063","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00064","x","x","MOL117","nenhum","nenhum","Pomacea canaliculata (Lamarck, 1822)","Pomacea canaliculata","(Lamarck, 1822)","Animalia","Mollusca","Gastropoda","Architaenioglossa","Ampullariidae","Pomacea","x","canaliculata","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1988-01-28","voucher","SOUZA, L. O. I.","x","x","28","01","1988","x","x","28.I.1988","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Pantanal da Nhecolândia","Nhecolândia","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","animal inteiro (ETOH 70%)",1,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00064","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00065","x","x","MOL118","nenhum","nenhum","Anodontites trapesialis forbesianus (Lea, 1860)","Anodontites trapesialis forbesianus","(Lea, 1860)","Animalia","Mollusca","Bivalvia","Unionoida","Mycetopodidae","Anodontites","x","trapesialis","forbesianus","subespécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1991-12-19","voucher","MARINI, A. C.","x","x","19","12","1991","x","x","19.XII.1991","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Pantanal do Abobral","x","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","animal inteiro (ETOH 70%)",20,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00065","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00066","x","x","MOL119","nenhum","nenhum","Anodontites trapesialis forbesianus (Lea, 1860)","Anodontites trapesialis forbesianus","(Lea, 1860)","Animalia","Mollusca","Bivalvia","Unionoida","Mycetopodidae","Anodontites","x","trapesialis","forbesianus","subespécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1992-02-27","voucher","MARINI, A. C.","x","x","27","02","1992","x","x","27.II.1992","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Pantanal do Abobral","x","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",2,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00066","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00067","x","x","MOL120","nenhum","nenhum","Neocyclotus inca (Pfeiffer, 1835)","Neocyclotus inca","(Pfeiffer, 1835)","Animalia","Mollusca","Gastropoda","Mesogastropoda","Cyclophoridae","Neocyclotus","x","inca","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1992-04-04","voucher","MARINI, A. C.","x","x","04","04","1992","x","x","04.IV.1992","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Morro do Jaraguá","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco); corpo mole (ETOH 70%)",2,"fêmea","x","x","indeterminado","selvagem","indeterminado","corpo mole em álcool 70°GL: 2","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00067","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00068","x","x","MOL124","nenhum","nenhum","Megalobulimus oblongus (Müller, 1774)","Megalobulimus oblongus","(Müller, 1774)","Animalia","Mollusca","Gastropoda","Stylommatophora","Megalobulimidae","Megalobulimus","x","oblongus","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1992-04-04","voucher","MARINI, A. C.","x","x","04","04","1992","x","x","04.IV.1992","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Gruta do Jaraguá","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","animal inteiro (ETOH 70%)",31,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00068","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00069","x","x","MOL125","nenhum","nenhum","Solaropsis heliaca (d'Orbigny, 1835)","Solaropsis heliaca","(d'Orbigny, 1835)","Animalia","Mollusca","Gastropoda","Stylommatophora","Solaropsidae","Solaropsis","x","heliaca","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1992-04-04","voucher","MARINI, A. C.","x","x","04","04","1992","x","x","04.IV.1992","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Gruta do Jaraguá","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",3,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00069","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00070","x","x","MOL136","nenhum","nenhum","Neocyclotus inca (Pfeiffer, 1835)","Neocyclotus inca","(Pfeiffer, 1835)","Animalia","Mollusca","Gastropoda","Mesogastropoda","Cyclophoridae","Neocyclotus","x","inca","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1992-04-08","voucher","BOGGIANI, P. C.","x","x","08","04","1992","x","x","08.IV.1992","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Córrego Bonito","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",5,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00070","x"
