"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Prateleira)","Localização na Coleção (Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Classe","Ordem","Família","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00071","x","x","MOL137","nenhum","nenhum","Diplodon hylaeus (d'Orbigny, 1835)","Diplodon hylaeus","(d'Orbigny, 1835)","Animalia","Mollusca","Bivalvia","Unionoida","Hyriidae","Diplodon","x","hylaeus","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1992-05-08","voucher","BOGGIANI, P. C.","x","x","08","05","1992","x","x","08.V.1992","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Córrego Bonito","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",4,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00071","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00072","x","x","MOL138","nenhum","nenhum","Pomacea canaliculata (Lamarck, 1822)","Pomacea canaliculata","(Lamarck, 1822)","Animalia","Mollusca","Gastropoda","Architaenioglossa","Ampullariidae","Pomacea","x","canaliculata","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1992-05-28","voucher","LOUZAN, J. C.","x","x","28","05","1992","x","x","28.V.1992","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","x","19°34'37""S","57°00'42""W","-19.576944","-57.011667","nulo","WGS84","nulo","nulo","nulo","nenhum","nulo","nulo","x","animal inteiro (ETOH 70%)",1,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00072","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00073","x","x","MOL139","nenhum","nenhum","Aquidauania brasiliensis (Rey 1959)","Aquidauania brasiliensis","(Rey 1959)","Animalia","Mollusca","Gastropoda","Mesogastropoda","Pomatiopsidae","Aquidauania","x","brasiliensis","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1992-04-04","voucher","MARINI, A. C.","x","x","04","04","1992","x","x","04.IV.1992","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","x","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","animal inteiro (ETOH 70%)",1,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00073","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00074","x","x","MOL145","nenhum","nenhum","Diplodon hylaeus (d'Orbigny, 1835)","Diplodon hylaeus","(d'Orbigny, 1835)","Animalia","Mollusca","Bivalvia","Unionoida","Hyriidae","Diplodon","x","hylaeus","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1992-06-10","voucher","MARINI, A. C.","x","x","10","06","1992","x","x","10.VI.1992","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Rio Formoso","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",1,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00074","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00075","x","x","MOL147","nenhum","nenhum","Solaropsis heliaca (d'Orbigny, 1835)","Solaropsis heliaca","(d'Orbigny, 1835)","Animalia","Mollusca","Gastropoda","Stylommatophora","Solaropsidae","Solaropsis","x","heliaca","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1992-08-23","voucher","SANTOS, A. V.","x","x","23","08","1992","x","x","23.VIII.1992","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","x","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",1,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00075","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00076","x","x","MOL150","nenhum","nenhum","Mycetopoda legumen (von Martens, 1888)","Mycetopoda legumen","(von Martens, 1888)","Animalia","Mollusca","Bivalvia","Unionoida","Mycetopodidae","Mycetopoda","x","legumen","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1993-11-28","voucher","MARINI, A. C.","x","x","28","11","1993","x","x","28.XI.1993","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Pantanal da Nhecolândia","Nhecolândia","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",1,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00076","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00077","x","x","MOL151","nenhum","nenhum","Mycetopoda legumen (von Martens, 1888)","Mycetopoda legumen","(von Martens, 1888)","Animalia","Mollusca","Bivalvia","Unionoida","Mycetopodidae","Mycetopoda","x","legumen","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1993-10-23","voucher","MARINI, A. C. et al.","x","x","23","10","1993","x","x","23.X.1993","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","x","19°34'37""S","57°00'42""W","-19.576944","-57.011667","nulo","WGS84","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",9,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00077","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00078","x","x","MOL154","nenhum","nenhum","x","x","x","Animalia","Mollusca","Bivalvia","Unionoida","Mycetopodidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1992-12-01","voucher","BOGGIANI, P. C.","x","x","01","12","1992","x","x","01.XII.1992","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Rio Mimoso","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",4,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00078","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00079","x","x","MOL155","nenhum","nenhum","x","x","x","Animalia","Mollusca","Bivalvia","Unionoida","Mycetopodidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1992-09-19","voucher","MARINI, A. C.","x","x","19","09","1992","x","x","19.IX.1992","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Rio Bonito","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",3,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00079","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00080","x","x","MOL156","nenhum","nenhum","Haasica sp. ","Haasica","x","Animalia","Mollusca","Bivalvia","Unionoida","Mycetopodidae","Haasica","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","MARINI, A. C.","1992-11-10","voucher","BENITES, C.","x","x","10","11","1992","x","x","10.XI.1992","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Miranda","x","x","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",1,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00080","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00081","x","x","MOL158","nenhum","nenhum","Diplodon sp. ","Diplodon","x","Animalia","Mollusca","Bivalvia","Unionoida","Hyriidae","Diplodon","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","MARINI, A. C.","1994-04-20","voucher","GONÇALVES, J. L.","x","x","20","04","1994","x","x","20.IV.1994","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Aquidauana","x","Rio Miranda","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",7,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00081","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00082","x","x","MOL159","nenhum","nenhum","Leila sp. ","Leila","x","Animalia","Mollusca","Bivalvia","Unionoida","Mycetopodidae","Leila","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","MARINI, A. C.","1992-11-01","voucher","BENITES, C.","x","x","01","11","1992","x","x","01.XI.1992","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Miranda","x","x","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco); corpo mole (ETOH 70%)",3,"x","x","x","indeterminado","selvagem","indeterminado","corpo mole em álcool 70°GL: 1","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00082","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00083","x","x","MOL161","nenhum","nenhum","x","x","x","Animalia","Mollusca","Bivalvia","Unionoida","Hyriidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1994-06-02","voucher","MARTINS, G. R.","x","x","02","06","1994","x","x","02.VI.1994","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Três Lagoas","x","Rio Paraná","20°54'30""S","51°39'02""W","-20.908333","-51.650556","nulo","WGS84","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",1,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00083","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00084","x","x","MOL164","nenhum","nenhum","Hemisinus tenuilabris Reeve, 1860","Hemisinus tenuilabris","Reeve, 1860","Animalia","Mollusca","Gastropoda","Mesogastropoda","Thiaridae","Hemisinus","x","tenuilabris","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1994-10-11","voucher","MARTINS, G. R.","x","x","11","10","1994","x","x","11.X.1994","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Brasilândia","x","Ilha Verde","21°12'34""S","51°52'40""W","-21.209444","-51.877778","nulo","WGS84","nulo","nulo","nulo","nenhum","nulo","nulo","x","animal inteiro (ETOH 70%)",2,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00084","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00085","x","x","MOL165","nenhum","nenhum","Drymaeus (D.) papyraceus (Mawe, 1823)","Drymaeus (D.) papyraceus","(Mawe, 1823)","Animalia","Mollusca","Gastropoda","Stylommatophora","Orthalicidae","Drymaeus","Drymaeus","papyraceus","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1996-06-18","voucher","SILVA, J. O.","x","x","18","06","1996","x","x","18.VI.1996","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","animal inteiro (ETOH 70%)",1,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00085","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00086","x","x","MOL172","nenhum","nenhum","Neocyclotus inca (Pfeiffer, 1835)","Neocyclotus inca","(Pfeiffer, 1835)","Animalia","Mollusca","Gastropoda","Mesogastropoda","Cyclophoridae","Neocyclotus","x","inca","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1995-05-21","voucher","MARTINS, G. R.","x","x","21","05","1995","x","x","21.V.1995","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","x","Fazenda Campina","20°34'00""S","56°43'25""W","-20.566667","-56.723611","nulo","WGS84","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",3,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00086","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00087","x","x","MOL179","nenhum","nenhum","Neocyclotus inca (Pfeiffer, 1835)","Neocyclotus inca","(Pfeiffer, 1835)","Animalia","Mollusca","Gastropoda","Mesogastropoda","Cyclophoridae","Neocyclotus","x","inca","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1995-12-01","voucher","MARTINS, G. R.","x","x","01","12","1995","x","x","01.XII.1995","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","x","Sítio Vista Alegre","20°44'40""S","56°47'17""W","-20.744444","-56.788056","nulo","WGS84","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",2,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00087","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00088","x","x","MOL100","nenhum","nenhum","Megalobulimus oblongus (Müller, 1774)","Megalobulimus oblongus","(Müller, 1774)","Animalia","Mollusca","Gastropoda","Stylommatophora","Megalobulimidae","Megalobulimus","x","oblongus","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1990-10-02","voucher","TEIXEIRA, M. C.","x","x","02","10","1990","x","x","02.X.1990","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Avenida Mato Grosso","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",1,"macho","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00088","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00089","x","x","MOL123","nenhum","nenhum","Oxystyla","Oxystyla","x","Animalia","Mollusca","Gastropoda","Stylommatophora","Orthalicidae","Oxystyla","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","MARINI, A. C.","1992-04-04","voucher","MARINI, A. C.","x","x","04","04","1992","x","x","04.IV.1992","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Gruta do Jaraguá","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",18,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00089","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00090","x","x","MOL144","nenhum","nenhum","Biomphalaria occidentalis Paraense, 1981","Biomphalaria occidentalis","Paraense, 1981","Animalia","Mollusca","Gastropoda","Basommatophora","Planorbidae","Biomphalaria","x","occidentalis","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1992-06-11","voucher","MARINI, A. C.","x","x","11","06","1992","x","x","11.VI.1992","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",13,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00090","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00091","x","x","MOL153","nenhum","nenhum","Megalobulimus oblongus (Müller, 1774)","Megalobulimus oblongus","(Müller, 1774)","Animalia","Mollusca","Gastropoda","Stylommatophora","Megalobulimidae","Megalobulimus","x","oblongus","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1992-10-05","voucher","JUNQUEIRA, F.","x","x","05","10","1992","x","x","05.X.1992","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul","x","x","x","x","nulo","x","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",1,"macho","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00091","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00092","x","x","MOL163","nenhum","nenhum","Megalobulimus oblongus (Müller, 1774)","Megalobulimus oblongus","(Müller, 1774)","Animalia","Mollusca","Gastropoda","Stylommatophora","Megalobulimidae","Megalobulimus","x","oblongus","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1994-10-11","voucher","MARTINS, G. R.","x","x","11","10","1994","x","x","11.X.1994","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Brasilândia","x","Ilha Verde","21°12'34""S","51°52'40""W","-21.209444","-51.877778","nulo","WGS84","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",1,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00092","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00093","x","x","MOL177","nenhum","nenhum","Megalobulimus oblongus (Müller, 1774)","Megalobulimus oblongus","(Müller, 1774)","Animalia","Mollusca","Gastropoda","Stylommatophora","Megalobulimidae","Megalobulimus","x","oblongus","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1987-05-30","voucher","MARTINS, G. R.","x","x","30","05","1987","x","x","30.V.1987","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Maracaju","x","Fazenda Acampamento","21°46'00""S","55°33'00""W","-21.766667","-55.550000","nulo","WGS84","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",1,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00093","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00094","x","x","MOL178","nenhum","nenhum","Megalobulimus oblongus (Müller, 1774)","Megalobulimus oblongus","(Müller, 1774)","Animalia","Mollusca","Gastropoda","Stylommatophora","Megalobulimidae","Megalobulimus","x","oblongus","x","espécie","aceito","x","indeterminado","ICZN","x","MARINI, A. C.","1995-12-01","voucher","MARTINS, G. R.","x","x","01","12","1995","x","x","01.XII.1995","indeterminado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","x","Sítio Vista Alegre","20°44'40""S","56°47'17""W","-20.744444","-56.788056","nulo","WGS84","nulo","nulo","nulo","nenhum","nulo","nulo","x","concha (seco)",1,"x","x","x","indeterminado","selvagem","indeterminado","nenhuma","em coleção","x","nenhuma","nenhuma","x","x","ITIS","br:UFMS:ZUFMS:ZUFMS-MOL00094","x"
"2021-02-11","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00095","LOTE28","MOLA","nenhum","nenhum","nenhum","Cyrenidae Gray, 1840","Cyrenidae","Gray, 1840","Animalia","Mollusca","Bivalvia","Verenida","Cyrenidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 1; Ponto 1","16","10","2020","09:30:00/11:30:00","2020-10-16","16.X.2020","busca ativa","Mata Atlântica","final de seca","Campanha 1; Ponto 1","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel II","23°16'58.70""S","51°26'48.95""W","-23.282972","-51.446931","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",5,"indeterminado","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-MOL00095","x"
"2021-02-11","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00096","LOTE28","MOLA","nenhum","nenhum","nenhum","Cyrenidae Gray, 1840","Cyrenidae","Gray, 1841","Animalia","Mollusca","Bivalvia","Verenida","Cyrenidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 1; Ponto 2","16","10","2020","09:30:00/11:30:00","2020-10-16","16.X.2020","busca ativa","Mata Atlântica","final de seca","Campanha 1; Ponto 2","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel II","23°16'58.70""S","51°26'48.95""W","-23.282972","-51.446931","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",8,"indeterminado","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-MOL00096","x"
"2021-02-11","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00097","LOTE28","MOLA","nenhum","nenhum","nenhum","Cyrenidae Gray, 1840","Cyrenidae","Gray, 1841","Animalia","Mollusca","Bivalvia","Verenida","Cyrenidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 1; Ponto 3","16","10","2020","09:30:00/11:30:00","2020-10-16","16.X.2020","busca ativa","Mata Atlântica","final de seca","Campanha 1; Ponto 3","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel II","23°16'58.70""S","51°26'48.95""W","-23.282972","-51.446931","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",20,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-MOL00097","x"
"2021-02-11","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MOL00098","LOTE28","MOLA","nenhum","nenhum","nenhum","Cyrenidae Gray, 1840","Cyrenidae","Gray, 1840","Animalia","Mollusca","Bivalvia","Verenida","Cyrenidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 2","11","12","2020","09:30:00/11:30:00","2020-12-11","11.XII.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 2","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel II","23°16'58.70""S","51°26'48.95""W","-23.282972","-51.446931","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",16,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-MOL00098","x"
