"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção - Armário","Localização no Armário - Frasco","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Classe","Ordem","Família","Subfamília","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2018-11-13","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00061","ARMINV 004 ZUFMS ÚMIDA","NEMU; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Pharyngodonidae Travassos, 1919","Pharyngodonidae","Travassos, 1919","Animalia","Nematoda","Chromadorea","Rhabditida","Pharyngodonidae","x","x","x","x","x","família","aceito","x","x","ICZN","x","Negreiros, L.","2015-06-30","voucher","Negreiros, L.","PB0012","coleta estiagem","20","6","2015","07:00/17:01","2015-06-01/2015-12-30","20.VI.2015","rede de arrasto","Amazônia","estação de estiagem","nenhuma","América do Sul","Brasil","BRA","Bacia do Rio Acre","Acre","Rio Branco","Rio Branco","Bairro Aeroporto Velho","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",2,"indeterminado","não informado","larva","não informado","selvagem","parasito","nenhuma","em coleção","x","x","Negreiros et al. (2018) Community structure of metazoan parasites from Pimelodus blochii in two rivers of the Western Brazilian Amazon: same seasonal traits, but different anthropogenic impacts","Fauna de parasitos metazoários de Calophysus macropterus e Pimelodus blochii (Pimelodidae) do estado do Acre: uma abordagem taxonômica, morfológica, molecular e ecológica","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00061","x"
"2018-11-14","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00062","ARMÁRIO DE TIPOS COLEÇÃO ÚMIDA","NEMV","nenhum","nenhum","nenhum","Raphidascaris (Sprentascaris) sp. nov. andersoni Malta et al., 2018","Raphidascaris (Sprentascaris) andersoni","Malta et al., 2018","Animalia","Nematoda","Chromadorea","Rhabditida","Raphidascarididae","Raphidascaridinae","Raphidascaris","Sprentacaris","andersoni","x","espécie","em descrição","x","x","ICZN","sp.","MALTA, L. S.","2016-09-15","holótipo","MALTA, L. S.","N01","P12","15","09","2016","06:00/17:00","2016-09-15","15.IX.2016","tarrafa","Pantanal","Coleta realizada em época em que está água fria","nenhuma","América do Sul","Brasil","BRA","Bacia do Paraguai","Mato Grosso do Sul","Corumbá","Pantanal do Miranda-Abobral","Lagoa marginal à estrada parque","19°28'19.5""S","57°02'39.0""W","-19.472083","-57.044167","nulo","x","x","nulo","nulo","lagoa","nulo","nulo","área de coleta se localiza proximo a entrada da fazenda São Bento.","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","reprodutivo","selvagem","parasito","Espécime encontrada parasitando Gymnogeophagus balzanii","em tombamento","x","Anderson et al. (2009) e atualizada de acordo com Pereira & Luque (2017)","x","Coletas da Dissertação de Mestrado em Biologia Animal de Lennon de Souza Malta","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00062","x"
"2018-11-14","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00063","ARMÁRIO DE TIPOS COLEÇÃO ÚMIDA","NEMV","nenhum","nenhum","nenhum","Raphidascaris (Sprentascaris) sp. nov. andersoni Malta et al., 2018","Raphidascaris (Sprentascaris) andersoni","Malta et al., 2018","Animalia","Nematoda","Chromadorea","Rhabditida","Raphidascarididae","Raphidascaridinae","Raphidascaris","Sprentacaris","andersoni","x","espécie","em descrição","x","x","ICZN","sp.","MALTA, L. S.","2016-09-15","alótipo","MALTA, L. S.","N02","P12","15","09","2016","06:00/17:00","2016-09-15","15.IX.2016","tarrafa","Pantanal","Coleta realizada em época em que está água fria","nenhuma","América do Sul","Brasil","BRA","Bacia do Paraguai","Mato Grosso do Sul","Corumbá","Pantanal do Miranda-Abobral","Lagoa marginal à estrada parque","19°28'19.5""S","57°02'39.0""W","-19.472083","-57.044167","nulo","x","x","nulo","nulo","lagoa","nulo","nulo","área de coleta se localiza proximo a entrada da fazenda São Bento.","animal inteiro (ETOH 70%)",1,"fêmea","não informado","adulto","reprodutivo","selvagem","parasito","Espécime encontrada parasitando Gymnogeophagus balzanii","em tombamento","x","Anderson et al. (2009) e atualizada de acordo com Pereira & Luque (2017)","x","Coletas da Dissertação de Mestrado em Biologia Animal de Lennon de Souza Malta","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00063","x"
"2018-11-14","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00064","ARMÁRIO DE TIPOS COLEÇÃO ÚMIDA","NEMV","nenhum","nenhum","nenhum","Raphidascaris (Sprentascaris) sp. nov. andersoni Malta et al., 2018","Raphidascaris (Sprentascaris) andersoni","Malta et al., 2018","Animalia","Nematoda","Chromadorea","Rhabditida","Raphidascarididae","Raphidascaridinae","Raphidascaris","Sprentacaris","andersoni","x","espécie","em descrição","x","x","ICZN","sp.","MALTA, L. S.","2016-09-15","parátipo","MALTA, L. S.","x","P12","15","09","2016","06:00/17:00","2016-09-15","15.IX.2016","tarrafa","Pantanal","Coleta realizada em época em que está água fria","nenhuma","América do Sul","Brasil","BRA","Bacia do Paraguai","Mato Grosso do Sul","Corumbá","Pantanal do Miranda-Abobral","Lagoa marginal à estrada parque","19°28'19.5""S","57°02'39.0""W","-19.472083","-57.044167","nulo","x","x","nulo","nulo","lagoa","nulo","nulo","área de coleta se localiza proximo a entrada da fazenda São Bento.","lote de animais inteiros (ETOH 70%)",9,"machos","não informado","adulto","reprodutivo","selvagem","parasito","Espécime encontrada parasitando Gymnogeophagus balzanii","em tombamento","x","Anderson et al. (2009) e atualizada de acordo com Pereira & Luque (2017)","x","Coletas da Dissertação de Mestrado em Biologia Animal de Lennon de Souza Malta","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00064","x"
"2018-11-14","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00065","ARMÁRIO DE TIPOS COLEÇÃO ÚMIDA","NEMV","nenhum","nenhum","nenhum","Raphidascaris (Sprentascaris) sp. nov. andersoni Malta et al., 2018","Raphidascaris (Sprentascaris) andersoni","Malta et al., 2018","Animalia","Nematoda","Chromadorea","Rhabditida","Raphidascarididae","Raphidascaridinae","Raphidascaris","Sprentacaris","andersoni","x","espécie","em descrição","x","x","ICZN","sp.","MALTA, L. S.","2016-09-15","parátipo","MALTA, L. S.","x","P12","15","09","2016","06:00/17:00","2016-09-15","15.IX.2016","tarrafa","Pantanal","Coleta realizada em época em que está água fria","nenhuma","América do Sul","Brasil","BRA","Bacia do Paraguai","Mato Grosso do Sul","Corumbá","Pantanal do Miranda-Abobral","Lagoa marginal à estrada parque","19°28'19.5""S","57°02'39.0""W","-19.472083","-57.044167","nulo","x","x","nulo","nulo","lagoa","nulo","nulo","área de coleta se localiza proximo a entrada da fazenda São Bento.","lote de animais inteiros (ETOH 70%)",9,"fêmeas","não informado","adulto","reprodutivo","selvagem","parasito","Espécime encontrada parasitando Gymnogeophagus balzanii","em tombamento","x","Anderson et al. (2009) e atualizada de acordo com Pereira & Luque (2017)","x","Coletas da Dissertação de Mestrado em Biologia Animal de Lennon de Souza Malta","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00065","x"
"2018-12-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00066","ARMINV 004 ZUFMS ÚMIDA","NEMA; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Aplectana hylambatis, Baylis, 1927","Aplectana hylambatis","Baylis, 1927","Animalia","Nematoda","Chromadorea","Rhabditida","Cosmocercidae","Cosmocercinae","Aplectana","x","hylambatis","x","espécie","aceito","x","x","ICZN","x","SOARES, P.","2018","voucher","SOARES, P.",8,"x","17","12","2014",19:00:00,"2014-12-17","17.XII.2014","necropsia","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","18°59'23.90""S","56°39'01.55""W","-18.989972","-56.650431",10,"WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","parasito","nenhuma","em tombamento","x","x","x","Doutorado Priscilla Soares","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00066","x"
"2018-12-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00067","ARMINV 004 ZUFMS ÚMIDA","NEMG; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Brevimulticaecum Mozgovoi 1951","Brevimulticaecum","Mozgovoi 1951","Animalia","Nematoda","Chromadorea","Rhabditida","Heterocheilidae","Heterocheilinae","Brevimulticaecum","x","x","x","gênero","aceito","x","x","ICZN","sp.","SOARES, P.","2018","voucher","SOARES, P.",1,"x","29","11","2016",19:00:00,"2016-11-29","29.XI.2016","necropsia","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","18°35'36.85""S","56°22'16.35""W","-18.593569","-56.371208",10,"WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","imaturo","não informado","selvagem","parasito","nenhuma","em tombamento","x","x","x","Doutorado Priscilla Soares","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00067","x"
"2018-12-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00068","ARMINV 004 ZUFMS ÚMIDA","NEMB; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Cosmocerca parva Travassos, 1925","Cosmocerca parva","Travassos, 1925","Animalia","Nematoda","Chromadorea","Rhabditida","Cosmocercidae","Cosmocercinae","Cosmocerca","x","parva","x","espécie","aceito","x","x","ICZN","x","SOARES, P.","2018","voucher","SOARES, P.",6,"x","27","11","2017",19:00:00,"2017-11-27","27.XI.2017","necropsia","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","18°35'36.85""S","56°22'16.35""W","-18.593569","-56.371208",10,"WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"fêmea","não informado","adulto","não informado","selvagem","parasito","nenhuma","em tombamento","x","x","x","Doutorado Priscilla Soares","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00068","x"
"2018-12-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00069","ARMINV 004 ZUFMS ÚMIDA","NEMH; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Cosmocercella Steiner, 1924","Cosmocercella","Steiner, 1924","Animalia","Nematoda","Chromadorea","Rhabditida","Cosmocercidae","Cosmocercinae","Cosmocercella","x","x","x","gênero","aceito","x","x","ICZN","sp.","SOARES, P.","2018","voucher","SOARES, P.",7,"x","27","11","2017",19:00:00,"2017-11-27","27.XI.2017","necropsia","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","18°35'36.85""S","56°22'16.35""W","-18.593569","-56.371208",10,"WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","parasito","nenhuma","em tombamento","x","x","x","Doutorado Priscilla Soares","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00069","x"
"2018-12-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00070","ARMINV 004 ZUFMS ÚMIDA","NEMF; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Oxyascaris oxyascaris Travassos, 1920","Oxyascaris oxyascaris","Travassos, 1920","Animalia","Nematoda","Chromadorea","Rhabditida","Cosmocercidae","Cosmocercinae","Oxyascaris","x","oxyascaris","x","espécie","aceito","x","x","ICZN","x","SOARES, P.","2018","voucher","SOARES, P.",4,"x","07","03","2015",19:00:00,"2015-03-07","07.III.2015","necropsia","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","18°59'23.90""S","56°39'01.55""W","-18.989972","-56.650431",10,"WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","parasito","nenhuma","em tombamento","x","x","x","Doutorado Priscilla Soares","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00070","x"
"2018-12-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00071","ARMINV 004 ZUFMS ÚMIDA","NEMD; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Raillietnema minor Freitas e Dobbin Junior, 1961","Raillietnema minor","Freitas e Dobbin Junior, 1961","Animalia","Nematoda","Chromadorea","Rhabditida","Cosmocercidae","Cosmocercinae","Raillietnema","x","minor","x","espécie","aceito","x","x","ICZN","x","SOARES, P.","2018","voucher","SOARES, P.",2,"x","14","12","2014",19:00:00,"2014-12-14","14.XII.2014","necropsia","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","18°35'36.85""S","56°22'16.35""W","-18.593569","-56.371208",10,"WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","parasito","nenhuma","em tombamento","x","x","x","Doutorado Priscilla Soares","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00071","x"
"2018-12-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00072","ARMINV 004 ZUFMS ÚMIDA","NEMX; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Physalopteridae Railliet, 1893","Physalopteridae","Railliet, 1893","Animalia","Nematoda","Chromadorea","Rhabditida","Physalopteridae","x","x","x","x","x","família","aceito","x","x","ICZN","x","SOARES, P.","2018","voucher","SOARES, P.",3,"x","07","03","2015",19:00:00,"2015-03-07","07.III.2015","necropsia","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","18°59'23.90""S","56°39'01.55""W","-18.989972","-56.650431",10,"WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"fêmea","não informado","adulto","não informado","selvagem","parasito","nenhuma","em tombamento","x","x","x","Doutorado Priscilla Soares","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00072","x"
"2018-12-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00073","ARMINV 004 ZUFMS ÚMIDA","NEMZ; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Cosmocercidae Travassos, 1925","Cosmocercidae","Travassos, 1925","Animalia","Nematoda","Chromadorea","Rhabditida","Cosmocercidae","x","x","x","x","x","família","aceito","x","x","ICZN","x","SOARES, P.","2018","voucher","SOARES, P.",5,"x","02","04","2016",19:00:00,"2016-04-02","02.IV.2016","necropsia","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","19°01'05.12""S","56°23'40.12""W","-19.018089","-56.394478",10,"WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"fêmea","não informado","adulto","não informado","selvagem","parasito","nenhuma","em tombamento","x","x","x","Doutorado Priscilla Soares","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00073","x"
"2019-04-04","nenhuma","HumanObservation","UFMS","ZUFMS","ZUFMS-NEM00074","pasta computador","nenhum","nenhum","nenhum","nenhum","Rhabdias breviensis Nascimento, Goncalves, Melo, Giese, Furtado & Santos, 2013","Rhabdias breviensis","Nascimento, Goncalves, Melo, Giese, Furtado & Santos, 2013","Animalia","Nematoda","Chromadorea","Rhabditida","Rhabdiasidae","Rhabditinae","Rhabdias","x","breviensis","x","espécie","aceito","x","x","ICZN","x","SOARES, P.","2016","x","SOARES, P.","x","x","15","12","2014",08:00:00,"2014-12-15","15.XII.2014","necropsia","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Nhumirim; Embrapa Pantanal","18°59'00""S","56°39'00""W","-18.983.333","-56.650.000",10,"WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (fotografia .TIF)",1,"fêmea","não informado","adulto","não informado","selvagem","não informado","parasita","em coleção","x","x","x","Doutorado Priscilla Soares","https://live.staticflickr.com/7841/46814827164_ee36830030_o_d.jpg","NCBI, 2019","br:UFMS:ZUFMS:ZUFMS-NEM00074","x"
"2019-04-09","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00075","organizar","organizar","nenhum","nenhum","nenhum","Raphidascaris (Sprentascaris) mahnerti (Petter & Cassone, 1984)","Raphidascaris (Sprentascaris) mahnerti","(Petter & Cassone, 1984)","Animalia","Nematoda","Chromadorea","Rhabditida","Raphidascarididae","Raphidascaridinae","Raphidascaris","Sprentascaris","mahnerti","x","espécie","aceito","Sprentascaris mahnerti","x","ICZN","x","MALTA, L. S.","2017-08-08","voucher","MALTA, L. S.","MS221","x","08","08","2017","06:00/17:00","2017-08-08","08.VIII.2017","tarrafa","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","Paraguai","Mato Grosso do Sul","Corumbá","Pantanal do Miranda-Abobral","Lagoa marginal à rodovia","19°43'00.0""S","57°05'00.0""W","-19.716.667","-57.083.333","nulo","WGS84","x","nulo","nulo","lagoa","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",8,"machos","não informado","adulto","reprodutivo","selvagem","não informado","Espécime encontrada parasitando Loricariichthys labialis","em coleção","x","x","x","Artigo de redescrição de Sprentascaris mahnerti realizado por Lennon S. Malta","nenhuma","Anderson et al. (2009) e atualizada de acordo com Pereira & Luque (2017)","br:UFMS:ZUFMS:ZUFMS-NEM00075","x"
"2019-04-09","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00076","organizar","organizar","nenhum","nenhum","nenhum","Raphidascaris (Sprentascaris) mahnerti (Petter & Cassone, 1984)","Raphidascaris (Sprentascaris) mahnerti","(Petter & Cassone, 1984)","Animalia","Nematoda","Chromadorea","Rhabditida","Raphidascarididae","Raphidascaridinae","Raphidascaris","Sprentascaris","mahnerti","x","espécie","aceito","Sprentascaris mahnerti","x","ICZN","x","MALTA, L. S.","2017-08-08","voucher","MALTA, L. S.","MS221","x","08","08","2017","06:00/17:00","2017-08-08","08.VIII.2017","tarrafa","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","Paraguai","Mato Grosso do Sul","Corumbá","Pantanal do Miranda-Abobral","Lagoa marginal à rodovia","19°43'00.0""S","57°05'00.0""W","-19.716.667","-57.083.333","nulo","WGS84","x","nulo","nulo","lagoa","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",8,"fêmeas","não informado","adulto","reprodutivo","selvagem","não informado","Espécime encontrada parasitando Loricariichthys labialis","em coleção","x","x","x","Artigo de redescrição de Sprentascaris mahnerti realizado por Lennon S. Malta","nenhuma","Anderson et al. (2009) e atualizada de acordo com Pereira & Luque (2017)","br:UFMS:ZUFMS:ZUFMS-NEM00076","x"
"2021-07-15","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00077","organizar","individual","nenhum","nenhum","nenhum","Spirurida Chitwood, 1933","Spirurida","Chitwood, 1933","Animalia","Nematoda","Secernentea","Spirurida","x","x","x","x","x","x","ordem","aceito","x","x","ICZN","x","SILVA, I. C. O.","2020-09-23","voucher","SILVA, I. C. O.","041","x","26","01","2018","13:00:00/17:00:00","2018-01-26","26.I.2018","necropsia","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Alcinópolis","x","Parque Estadual das Nascentes do Rio Taquari","18°09'54.5""S","53°24'56.9""W","-18.165139","-53.415806","nulo","WGS84","x","nulo ","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"x","não informado","jovem","indeterminado","selvagem","parasitando","nenhuma","em tombamento","x","x","x","Laboratório de Parasitologia Animal; Doutorado Isabela Caroline Oliveira da Silva","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-NEM00077","x"
"2021-07-15","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00078","organizar","NEMY","nenhum","nenhum","nenhum","Cosmocerca sp. Diesing, 1861","Cosmocerca","Diesing, 1861","Animalia","Nematoda","Secernentea","Ascaridida","Cosmocercidae","Cosmocercinae","Cosmocerca","x","x","x","gênero","aceito","x","x","ICZN","sp.","SILVA, I. C. O.","2020-09-23","voucher","SILVA, I. C. O.","054","x","26","01","2018","13:00:00/17:00:00","2018-01-26","26.I.2018","necropsia","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Alcinópolis","x","Parque Estadual das Nascentes do Rio Taquari","18°09'54.5""S","53°24'56.9""W","-18.165139","-53.415806","nulo","WGS84","x","nulo ","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",2,"1 fêmea; 1 macho","não informado","adulto","com ovos","selvagem","parasitando","nenhuma","em tombamento","x","x","x","Laboratório de Parasitologia Animal; Doutorado Isabela Caroline Oliveira da Silva","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-NEM00078","x"
"2021-07-15","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00079","organizar","NEMW","nenhum","nenhum","nenhum","Rhabdias cf. elegans Gutierrez, 1945","Rhabdias elegans","Gutierrez, 1945,","Animalia","Nematoda","Secernentea","Rhabditida","Rhabdiasidae","Rhabditinae","Rhabdias","x","elegans","x","espécie","aceito","x","x","ICZN","cf.","SILVA, I. C. O.","2020-09-23","voucher","SILVA, I. C. O.","070","x","27","01","2018","13:00:00/17:00:00","2018-01-27","27.I.2018","necropsia","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Alcinópolis","x","Parque Estadual das Nascentes do Rio Taquari","18°09'54.5""S","53°24'56.9""W","-18.165139","-53.415806","nulo","WGS84","x","nulo ","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"fêmea","não informado","adulto","com ovos","selvagem","parasitando","nenhuma","em tombamento","x","x","x","Laboratório de Parasitologia Animal; Doutorado Isabela Caroline Oliveira da Silva","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-NEM00079","x"
"2021-07-15","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00080","organizar","NEMY","nenhum","nenhum","nenhum","Cosmocercella minor (Freitas & Dobbin, 1961) Baker & Adamson, 1977","Cosmocercella minor","Steiner, 1924","Animalia","Nematoda","Secernentea","Ascaridida","Cosmocercidae","Cosmocercinae","Cosmocercella","x","minor","x","espécie","aceito","x","x","ICZN","x","SILVA, I. C. O.","2020-09-23","voucher","SILVA, I. C. O.","083","x","27","01","2018","13:00:00/17:00:00","2018-01-27","27.I.2018","necropsia","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Alcinópolis","x","Parque Estadual das Nascentes do Rio Taquari","18°09'54.5""S","53°24'56.9""W","-18.165139","-53.415806","nulo","WGS84","x","nulo ","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",2,"1 fêmea; 1 macho","não informado","adulto","com ovos","selvagem","parasitando","nenhuma","em tombamento","x","x","x","Laboratório de Parasitologia Animal; Doutorado Isabela Caroline Oliveira da Silva","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-NEM00080","x"
"2021-07-15","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00081","organizar","NEMY","nenhum","nenhum","nenhum","Cosmocercidae Railliet, 1916","Cosmocercidae","Railliet, 1916","Animalia","Nematoda","Secernentea","Ascaridida","Cosmocercidae","x","x","x","x","x","família","aceito","x","x","ICZN","x","SILVA, I. C. O.","2020-09-23","voucher","SILVA, I. C. O.","089","x","27","01","2018","13:00:00/17:00:00","2018-01-27","27.I.2018","necropsia","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Alcinópolis","x","Parque Estadual das Nascentes do Rio Taquari","18°09'54.5""S","53°24'56.9""W","-18.165139","-53.415806","nulo","WGS84","x","nulo ","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"x","não informado","jovem","indeterminado","selvagem","parasitando","nenhuma","em tombamento","x","x","x","Laboratório de Parasitologia Animal; Doutorado Isabela Caroline Oliveira da Silva","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-NEM00081","x"
"2021-07-15","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00082","organizar","NEMY","nenhum","nenhum","nenhum","Neocosmocercella cf. paraguayensis Baker e Vaucher, 1983","Neocosmocercella paraguayensis","Baker e Vaucher, 1983","Animalia","Nematoda","Secernentea","Ascaridida","Cosmocercidae","Cosmocercinae","Neocosmocercella","x","paraguayensis","x","espécie","aceito","x","x","ICZN","cf.","SILVA, I. C. O.","2020-09-23","voucher","SILVA, I. C. O.","092a","x","27","01","2018","13:00:00/17:00:00","2018-01-27","27.I.2018","necropsia","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Alcinópolis","x","Parque Estadual das Nascentes do Rio Taquari","18°09'54.5""S","53°24'56.9""W","-18.165139","-53.415806","nulo","WGS84","x","nulo ","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",2,"1 fêmea; 1 macho","não informado","adulto","com ovos","selvagem","parasitando","nenhuma","em tombamento","x","x","x","Laboratório de Parasitologia Animal; Doutorado Isabela Caroline Oliveira da Silva","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-NEM00082","x"
