"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização no Armário (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Classe","Ordem","Família","Subfamília","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00010","organizar","organizar","MAM00010","ZUFMS-TEC00282","Amostra de Tecido Muscular","Rattus rattus frugivorus Rafinesque, 1814","Rattus rattus frugivorus","Rafinesque, 1814","Animalia","Chordata","Mammalia","Rodentia","Muridae","Murinae","Rattus","x","rattus","frugivorus","subespécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","x","RSBS -12/92","x","26","02","1992","x","1992-02-26","26.II.1992","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corguinho","x","Croa","x","x","x","x","nulo","x","x","nulo","nulo","não informado","nulo","nulo","nenhuma","pele (taxidermia)",1,"macho","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00010","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00011","organizar","organizar","MAM00011","nenhum","nenhum","Cerradomys sp. Weksler, Percequillo & Voss, 2006","Cerradomys","Weksler, Percequillo & Voss, 2006","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Sigmodontinae","Cerradomys","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","x","x","voucher","x","RSBS -36/92","x","11","03","1992","x","1992-03-11","11.III.1992","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corguinho","x","Croa","x","x","x","x","nulo","x","x","nulo","nulo","não informado","nulo","nulo","nenhuma","pele (taxidermia)",1,"indeterminado","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","empréstimo","GR26/2019 (devolvido parcialmente)","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00011","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00012","organizar","organizar","MAM00012","nenhum","nenhum","Nectomys squamipes (Brants, 1827)","Nectomys squamipes","(Brants, 1827)","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Sigmodontinae","Nectomys","x","squamipes","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","x","RSBS -18/92","x","22","09","1992","x","1992-09-22","22.IX.1992","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corguinho","x","Croa","x","x","x","x","nulo","x","x","nulo","nulo","não informado","nulo","nulo","nenhuma","pele (taxidermia)",1,"fêmea","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00012","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00013","organizar","organizar","MAM00013","nenhum","nenhum","Dasyprocta fuliginosa Wagler, 1832","Dasyprocta fuliginosa","Wagler, 1832","Animalia","Chordata","Mammalia","Rodentia","Dasyproctidae","Dasyproctinae","Dasyprocta","x","fuliginosa","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","x","RSBS -1/92","x","10","01","1992","x","1992-01-10","10.I.1992","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corguinho","x","Croa","x","x","x","x","nulo","x","x","nulo","nulo","não informado","nulo","nulo","nenhuma","pele (taxidermia)",1,"macho","não informado","juvenil","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00013","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00014","organizar","organizar","MAM00014","nenhum","nenhum","Dasyprocta azarae Lichtenstein, 1823","Dasyprocta azarae","Lichtenstein, 1823","Animalia","Chordata","Mammalia","Rodentia","Dasyproctidae","Dasyproctinae","Dasyprocta","x","azarae","x","espécie","aceito","x","indeterminado","ICZN","x","SOUZA, C. A.","2012-07-09","voucher","SOUZA, C. A.",1039,"x","09","07","2012","x","2012-07-09","09.VII.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso","Itiquira","x","PCH Sonora","17°35'11""S","54°54'27""W","-17.586389","-54.907500","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica); pele (taxidermia)",1,"fêmea","não informado","juvenil","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00014","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00015","organizar","organizar","MAM00015","nenhum","nenhum","Lycalopex vetulus (Lund, 1842)","Lycalopex vetulus","(Lund, 1842)","Animalia","Chordata","Mammalia","Carnivora","Canidea","Caninae","Pseudalopex","x","vetulus","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","PEREIRA, E. D. L.","X","x","13","06","2013","x","2013-06-13","13.VI.2013","atropelamento","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Três Lagoas","x","BR-262","20°38'12""S","52°19'58""W","-20.636667","-52.332778","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica)",1,"fêmea","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00015","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00016","organizar","organizar","MAM00016","nenhum","nenhum","Necromys lasiurus (Lund, 1841)","Necromys lasiurus","(Lund, 1841)","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Sigmodontinae","Necromys","x","lasiurus","x","espécie","aceito","x","indeterminado","ICZN","x","SOUZA, C. A.","2012-07-09","voucher","SOUZA, C. A.",1057,"x","26","09","2012","x","2012-09-26","26.IX.2012","resgate de fauna","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso","Itiquira","x","PCH Sonora","17°35'11""S","54°54'27""W","-17.586389","-54.907500","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica)",1,"macho","não informado","juvenil","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00016","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00017","organizar","organizar","MAM00017","nenhum","nenhum","Mazama gouazoubira (G. Fischer [von Waldheim], 1814)","Mazama gouazoubira","(G. Fischer [von Waldheim], 1814)","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Odocoileinae","Mazama","x","gouazoubira","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","x","x","x","03","10","2011","x","2011-10-03","03.X.2011","atropelamento","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","BR-262","20°28'06""S","54°28'31""W","-20.468333","-54.475278","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica)",1,"indeterminado","não informado","indeterminado","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00017","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00018","organizar","organizar","MAM00018","nenhum","nenhum","Sapajus apella (Linnaeus, 1758)","Sapajus apella","(Linnaeus, 1758)","Animalia","Chordata","Mammalia","Primates","Cebidae","Cebinae","Sapajus","x","apella","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","DELATORRE, M.","x","x","x","05","2013","x","2013-05","V.2013","atropelamento","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Miranda","x","BR-262","20°10'26""S","56°30'52""W","-20.173889","-56.514444","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica)",1,"macho","não informado","juvenil","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00018","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00019","organizar","organizar","MAM00019","nenhum","nenhum","Cabassous unicinctus (Linnaeus, 1758)","Cabassous unicinctus","(Linnaeus, 1758)","Animalia","Chordata","Mammalia","Cingulata","Dasypodidae","Tolypeutinae","Cabassous","x","unicinctus","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","DESBIEZ, A.","x","x","04","06","2013","x","2013-06-04","04.VI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Aquidauana","x","Fazenda Baía das Pedras","19°15'05""S","55°46'34""W","-19.251389","-55.776111","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica)",1,"macho","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00019","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00020","organizar","organizar","MAM00020","nenhum","nenhum","Nasua nasua (Linnaeus, 1766)","Nasua nasua","(Linnaeus, 1766)","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Procyoninae","Nasua","x","nasua","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","SOUZA, C. A.",1044,"x","30","07","2012","x","2012-07-30","30.VII.2012","resgate de fauna","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso","Itiquira","x","PCH Sonora","17°35'11""S","54°54'27""W","-17.586389","-54.907500","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica)",1,"fêmea","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00020","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00021","organizar","organizar","MAM00021","nenhum","nenhum","Leopardus pardalis (Linnaeus, 1758)","Leopardus pardalis","(Linnaeus, 1758)","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felinae","Leopardus","x","pardalis","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","SOUZA, C. A.",1049,"x","28","08","2012","x","2012-08-28","28.VIII.2012","resgate de fauna","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso","Itiquira","x","PCH Sonora","17°35'11""S","54°54'27""W","-17.586389","-54.907500","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica); pele (taxidermia)",1,"fêmea","peso: 8,6kg; comprimento: 125cmcm","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00021","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00022","organizar","organizar","MAM00022","nenhum","nenhum","Hydrochoerus hydrochaeris (Linnaeus, 1766)","Hydrochoerus hydrochaeris","(Linnaeus, 1766)","Animalia","Chordata","Mammalia","Rodentia","Caviidae","Hydrochoerinae","Hydrochoerus","x","hydrochaeris","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","SOUZA, C. A.",1036,"x","07","07","2012","x","2012-07-07","07.VII.2012","resgate de fauna","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso","Itiquira","x","PCH Sonora","17°35'11""S","54°54'27""W","-17.586389","-54.907500","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica)",1,"fêmea","não informado","juvenil","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00022","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00023","organizar","organizar","MAM00023","nenhum","nenhum","Chrysocyon brachyurus (Illiger, 1815)","Chrysocyon brachyurus","(Illiger, 1815)","Animalia","Chordata","Mammalia","Carnivora","Canidea","Caninae","Chrysocyon","x","brachyurus","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","PEREIRA, E. D. L.","x","x","14","06","2013","x","2013-06-14","14.VI.2013","atropelamento","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Terenos","x","BR-262","20°25'21""S","54°59'31""W","-20.422500","-54.991944","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica)",1,"indeterminado","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00023","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00024","organizar","organizar","MAM00024","ZUFMS-TEC00286","Amostra de Tecido Muscular","Nasua nasua (Linnaeus, 1766)","Nasua nasua","(Linnaeus, 1766)","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Procyoninae","Nasua","x","nasua","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","SOUZA, C. A.",1042,"x","30","07","2012","x","2012-07-30","30.VII.2012","resgate de fauna","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso","Itiquira","x","PCH Sonora","17°35'11""S","54°54'27""W","-17.586389","-54.907500","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica)",1,"fêmea","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00024","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00025","organizar","organizar","MAM00025","nenhum","nenhum","Dasypus novemcinctus Linnaeus, 1758","Dasypus novemcinctus","Linnaeus, 1758","Animalia","Chordata","Mammalia","Cingulata","Dasypodidae","Dasypodinae","Dasypus","x","novemcinctus","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","PEREIRA, E. D. L.","x","x","29","06","2013","x","2013-06-29","29.VI.2013","atropelamento","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Miranda","x","BR-262","20°17'47""S","56°16'30""W","-20.296389","-56.275000","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica)",1,"indeterminado","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00025","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00026","organizar","organizar","MAM00026","ZUFMS-TEC00285","Amostra de Tecido Muscular","Euphractus sexcinctus (Linnaeus, 1758)","Euphractus sexcinctus","(Linnaeus, 1758)","Animalia","Chordata","Mammalia","Cingulata","Dasypodidae","Euphractinae","Euphractus","x","sexcinctus","x","espécie","aceito","x","indeterminado","ICZN","x","SEVERO-NETO, F.","2013-07-04","voucher","SEVERO-NETO, F.","x","x","05","07","2013","x","2013-07-05","05.VII.2013","atropelamento","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Guia Lopes da Laguna","x","MS-382","21°23'48""S","56°08'12""W","-21.396667","-56.136667","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica)",1,"macho","peso: 7,2kg","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00026","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00027","organizar","organizar","MAM00027","ZUFMS-TEC00283; ZUFMS-TEC00284","Amostra de Tecido Muscular","Leopardus pardalis (Linnaeus, 1758)","Leopardus pardalis","(Linnaeus, 1758)","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felinae","Leopardus","x","pardalis","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","PAIVA, F.","x","x","08","04","2012","x","2012-04-08","08.IV.2012","atropelamento","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Miranda","x","BR-262","x","x","x","x","nulo","x","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica); pele (taxidermia)",1,"macho","peso: 11kg; comprimento: 112cm","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00027","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00028","organizar","organizar","MAM00028","nenhum","nenhum","Lycalopex vetulus (Lund, 1842)","Lycalopex vetulus","(Lund, 1842)","Animalia","Chordata","Mammalia","Carnivora","Canidea","Caninae","Pseudalopex","x","vetulus","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","PEREIRA, E. D. L.","x","x","13","07","2013","x","2013-07-13","13.VII.2013","atropelamento","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","BR-262","20°29'02""S","54°09'15""W","-20.483889","-54.154167","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica)",1,"indeterminado","comprimento: 91cm","indeterminado","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00028","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00029","organizar","organizar","MAM00029","nenhum","nenhum","Cerdocyon thous (Linnaeus, 1766)","Cerdocyon thous","(Linnaeus, 1766)","Animalia","Chordata","Mammalia","Carnivora","Canidea","Caninae","Cerdocyon","x","thous","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","SOUZA, C. A.",1162,"x","23","07","2013","x","2013-07-23","23.VII.2013","resgate de fauna","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso","Itiquira","x","Usina Hidrelétrica Ponte de Pedra","17°35'11.0""S","54°54'27.0""W","-17.586389","-54.907500","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica)",1,"indeterminado","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00029","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00030","organizar","organizar","MAM00030","nenhum","nenhum","Lycalopex vetulus (Lund, 1842)","Lycalopex vetulus","(Lund, 1842)","Animalia","Chordata","Mammalia","Carnivora","Canidea","Caninae","Pseudalopex","x","vetulus","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","PEREIRA, E. D. L.","x","x","13","07","2013","x","2013-07-13","13.VII.2013","atropelamento","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","BR-262","20°28'15""S","54°05'10""W","-20.470833","-54.086111","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica)",1,"indeterminado","comprimento: 109cm","indeterminado","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00030","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00031","organizar","organizar","MAM00031","ZUFMS-TEC00287; ZUFMS-TEC00288","Amostra de Tecido Muscular","Tamandua tetradactyla (Linnaeus, 1758)","Tamandua tetradactyla","(Linnaeus, 1758)","Animalia","Chordata","Mammalia","Pilosa","Myrmecophagidae","Choloepinae","Tamandua","x","tetradactyla","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","PEREIRA, E. D. L.","x","x","x","x","2013","x","2013","2013","atropelamento","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","x","x","x","x","x","x","x","nulo","x","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica); pele (taxidermia)",1,"fêmea","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00031","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00032","organizar","organizar","MAM00032","nenhum","nenhum","Tapirus terrestris (Linnaeus, 1758)","Tapirus terrestris","(Linnaeus, 1758)","Animalia","Chordata","Mammalia","Perissodactyla","Tapiridae","Tapirinae","Tapirus","x","terrestris","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","PEREIRA, E. D. L.","x","x","x","x","2013","x","2013","2013","atropelamento","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Nova Alvorada do Sul","x","BR-267","21°35'23""S","53°59'14""W","-21.589722","-53.987222","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica)",1,"indeterminado","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00032","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00033","organizar","organizar","MAM00033","ZUFMS-TEC00289; ZUFMS-TEC00290","Amostra de Tecido Muscular","Hydrochoerus hydrochaeris (Linnaeus, 1766)","Hydrochoerus hydrochaeris","(Linnaeus, 1766)","Animalia","Chordata","Mammalia","Rodentia","Caviidae","Hydrochoerinae","Hydrochoerus","x","hydrochaeris","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","SOUZA, C. A.",1037,"x","07","07","2012","x","2012-07-07","07.VII.2012","resgate de fauna","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso","Itiquira","x","PCH Sonora","17°35'11""S","54°54'27""W","-17.586389","-54.907500","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica); pele (taxidermia)",1,"fêmea","comprimento: 57cm","juvenil","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00033","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00034","organizar","organizar","MAM00034","nenhum","nenhum","Hydrochoerus hydrochaeris (Linnaeus, 1766)","Hydrochoerus hydrochaeris","(Linnaeus, 1766)","Animalia","Chordata","Mammalia","Rodentia","Caviidae","Hydrochoerinae","Hydrochoerus","x","hydrochaeris","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","GRACIOLLI, G.","x","x","15","10","2013","x","2013-10-15","15.X.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Cerradinho","x","x","x","x","nulo","x","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica)",1,"indeterminado","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00034","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00035","organizar","organizar","MAM00035","nenhum","nenhum","Galictis cuja (Molina, 1782)","Galictis cuja","(Molina, 1782)","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustelinae","Galictis","x","cuja","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","PEREIRA, E. D. L.","x","x","08","11","2013","x","2013-11-08","08.XI.2013","atropelamento","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Miranda","x","BR-262","20°00'54""S","56°48'37""W","-20.015000","-56.810278","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica)",1,"indeterminado","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00035","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00036","organizar","organizar","MAM00036","ZUFMS-TEC00291; ZUFMS-TEC00292","Amostra de Tecido Muscular","Alouatta caraya (Humboldt, 1812)","Alouatta caraya","(Humboldt, 1812)","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouattinae","Alouatta","x","caraya","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","SEVERO-NETO, F.","x","x","04","09","2013","x","2013-09-04","04.IX.2013","atropelamento","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","MS-184","x","x","x","x","nulo","x","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica); pele (taxidermia)",1,"fêmea","não informado","juvenil","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00036","x"
