"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Prateleira)","Localização na Coleção (Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Classe","Ordem","Superfamília","Família","Subfamília","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2018-11-13","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00033","ARMINV 004 ZUFMS ÚMIDA","ZUFMS PARASITOS P001; LAM002-5","nenhum","nenhum","nenhum","Platyhelminthes Gegenbaur, 1859","Platyhelminthes","Gegenbaur, 1859","Animalia","Platyhelminthes","x","x","x","x","x","x","x","x","x","filo","aceito","Trematoda","x","ICZN","x","Negreiros, L.","2015-06-30","voucher","Negreiros, L.","número 14; PB0017","coleta estiagem","20","06","2015","07:00/17:01","2015-06-01/2015-12-30","20.VI.2015","rede de arrasto","Amazônia","x","estação de estiagem","América do Sul","Brasil","BRA","Bacia do Rio Acre","Acre","Rio Branco","Rio Branco","Bairro Aeroporto Velho","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","lâmina",1,"hermafrodita","x","adulto","não informado","selvagem","parasito","metacercariae type-Diplostomulum","em coleção","x","x","Negreiros et al. (2018) Community structure of metazoan parasites from Pimelodus blochii in two rivers of the Western Brazilian Amazon: same seasonal traits, but different anthropogenic impacts","Fauna de parasitos metazoários de Calophysus macropterus e Pimelodus blochii (Pimelodidae) do estado do Acre: uma abordagem taxonômica, morfológica, molecular e ecológica","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-PLA00033","x"
"2018-11-13","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00034","ARMINV 004 ZUFMS ÚMIDA","ZUFMS PARASITOS P001; LAM002-6","nenhum","nenhum","nenhum","Monticellia magna (Rêgo, Santos & Silva, 1974)","Monticellia magna","(Rêgo, Santos & Silva, 1974)","Animalia","Platyhelminthes","Cestoda","Proteocephalidea","Proteocephaloidea","Proteocephalidae","Monticelliinae","Monticellia","x","magna","x","espécie","aceito","Cestoda","x","ICZN","x","Negreiros, L.","2015-06-30","voucher","Negreiros, L.","número 15; PB0018","coleta estiagem","20","06","2015","07:00/17:01","2015-06-01/2015-12-30","20.VI.2015","rede de arrasto","Amazônia","x","estação de estiagem","América do Sul","Brasil","BRA","Bacia do Rio Acre","Acre","Rio Branco","Rio Branco","Bairro Aeroporto Velho","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","lâmina",1,"hermafrodita","x","adulto","não informado","selvagem","parasito","nenhuma","em coleção","x","x","Negreiros et al. (2018) Community structure of metazoan parasites from Pimelodus blochii in two rivers of the Western Brazilian Amazon: same seasonal traits, but different anthropogenic impacts","Fauna de parasitos metazoários de Calophysus macropterus e Pimelodus blochii (Pimelodidae) do estado do Acre: uma abordagem taxonômica, morfológica, molecular e ecológica","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-PLA00034","x"
"2018-12-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00035","ARMINV 004 ZUFMS ÚMIDA","PLAK; ZUFMS PARASITOS P001","nenhum","nenhum","nenhum","Choledocystus elegans Travassos, 1926","Choledocystus elegans","Travassos, 1926","Animalia","Platyhelminthes","Trematoda","Plagiorchiida","Plagiorchioidea","Plagiorchiidae","Plagiorchiinae","Choledocystus","x","elegans","x","espécie","x","x","x","ICZN","x","SOARES, P.","2018","voucher","SOARES, P.",13,"x","15","11","2017","19:00","2017-11-15","15.XI.2017","necropsia","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","18°35'36.85""S","56°22'16.35""W","-18.593569","-56.371208",10,"WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","parasito","nenhuma","em tombamento","x","x","x","Doutorado Priscilla Soares","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-PLA00035","x"
"2018-12-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00036","ARMINV 004 ZUFMS ÚMIDA","PLAF; ZUFMS PARASITOS P001","nenhum","nenhum","nenhum","Catadiscus cohni Travassos, 1926","Catadiscus cohni","Travassos, 1926","Animalia","Platyhelminthes","Trematoda","Plagiorchiida","Paramphistomoidea","Paramphistomidae","Paramphistominae","Catadiscus","x","cohni","x","espécie","x","x","x","ICZN","x","SOARES, P.","2018","voucher","SOARES, P.",14,"x","27","11","2017","19:00","2017-11-27","27.XI.2017","necropsia","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","18°35'36.85""S","56°22'16.35""W","-18.593569","-56.371208",10,"WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","parasito","nenhuma","em tombamento","x","x","x","Doutorado Priscilla Soares","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-PLA00036","x"
"2018-12-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00037","ARMINV 004 ZUFMS ÚMIDA","PLAF; ZUFMS PARASITOS P001","nenhum","nenhum","nenhum","Catadiscus uruguayensis Freitas & Lent, 1938","Catadiscus uruguayensis","Freitas & Lent, 19838","Animalia","Platyhelminthes","Trematoda","Plagiorchiida","Paramphistomoidea","Paramphistomidae","Paramphistominae","Catadiscus","x","uruguayensis","x","espécie","x","x","x","ICZN","x","SOARES, P.","2018","voucher","SOARES, P.",15,"x","27","11","2017","19:00","2017-11-27","27.XI.2017","necropsia","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","18°35'36.85""S","56°22'16.35""W","-18.593569","-56.371208",10,"WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","parasito","nenhuma","em tombamento","x","x","x","Doutorado Priscilla Soares","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-PLA00037","x"
"2018-12-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00038","ARMINV 004 ZUFMS ÚMIDA","PLAL; ZUFMS PARASITOS P001","nenhum","nenhum","nenhum","Brachylaima Dujardin, 1843","Brachylaima","Dujardin, 1843","Animalia","Platyhelminthes","Trematoda","Strigeidida","Brachylaimoidea","Brachylaimidae","Brachylaiminae","Brachylaima","x","x","x","gênero","x","x","x","ICZN","sp.","SOARES, P.","2018","voucher","SOARES, P.",16,"x","14","11","2016","19:00","2016-11-14","14.XI.2016","necropsia","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","18°35'36.85""S","56°22'16.35""W","-18.593569","-56.371208",10,"WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","imaturo","não informado","selvagem","parasito","nenhuma","em tombamento","x","x","x","Doutorado Priscilla Soares","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-PLA00038","x"
"2018-12-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00039","ARMINV 004 ZUFMS ÚMIDA","PLAH; ZUFMS PARASITOS P001","nenhum","nenhum","nenhum","Rauschiella Babero, 1951","Rauschiella","Babero, 1951","Animalia","Platyhelminthes","Trematoda","Plagiorchiida","Plagiorchioidea","Plagiorchiidae","Plagiorchiinae","Rauschiella","x","x","x","gênero","x","x","x","ICZN","sp.","SOARES, P.","2018","voucher","SOARES, P.",9,"x","17","11","2017","19:00","2017-11-17","17.XI.2017","necropsia","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","18°59'23.90""S","56°39'01.55""W","-18.989972","-56.650431",10,"WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","parasito","nenhuma","em tombamento","x","x","x","Doutorado Priscilla Soares","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-PLA00039","x"
"2018-12-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00040","ARMINV 004 ZUFMS ÚMIDA","PLAJ; ZUFMS PARASITOS P001","nenhum","nenhum","nenhum","Cylindrotaenia Jewell, 1916","Cylindrotaenia","Jewell, 1916","Animalia","Platyhelminthes","Cestoda","Cyclophyllidea","Nematotaenioidae","Nematotaeniidae","Nematotaeniinae","Cylindrotaenia","x","x","x","gênero","x","x","x","ICZN","sp.","SOARES, P.","2018","voucher","SOARES, P.",17,"x","07","03","2015","19:00","2015-03-07","07.III.2015","necropsia","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","18°59'23.90""S","56°39'01.55""W","-18.989972","-56.650431",10,"WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","parasito","nenhuma","em tombamento","x","x","x","Doutorado Priscilla Soares","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-PLA00040","x"
"2018-12-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00041","ARMINV 004 ZUFMS ÚMIDA","PLAB; ZUFMS PARASITOS P001","nenhum","nenhum","nenhum","Glypthelmins Stafford, 1905","Glypthelmins","Stafford, 1905","Animalia","Platyhelminthes","Trematoda","Plagiorchiida","Plagiorchioidea","Plagiorchiidae","Plagiorchiinae","Glypthelmins","x","x","x","gênero","x","x","x","ICZN","sp.","SOARES, P.","2018","voucher","SOARES, P.",10,"x","02","04","2016","19:00","2016-04-02","02.IV.2016","necropsia","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","19°01'05.12""S","56°23'40.12""W","-19.018089","-56.394478",10,"WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","parasito","nenhuma","em tombamento","x","x","x","Doutorado Priscilla Soares","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-PLA00041","x"
"2018-12-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00042","ARMINV 004 ZUFMS ÚMIDA","PLAB; ZUFMS PARASITOS P001","nenhum","nenhum","nenhum","Glypthelmins quieta Stafford, 1905","Glypthelmins quieta","Stafford, 1905","Animalia","Platyhelminthes","Trematoda","Plagiorchiida","Plagiorchioidea","Plagiorchiidae","Plagiorchiinae","Glypthelmins","x","quieta","x","espécie","x","x","x","ICZN","x","SOARES, P.","2018","voucher","SOARES, P.",11,"x","02","04","2016","19:00","2016-04-02","02.IV.2016","necropsia","Pantanal","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","19°01'05.12""S","56°23'40.12""W","-19.018089","-56.394478",10,"WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","parasito","nenhuma","em tombamento","x","x","x","Doutorado Priscilla Soares","nenhuma","CTFB, 2018","br:UFMS:ZUFMS:ZUFMS-PLA00042","x"
