"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00024","ARMINV 003 ZUFMS ÚMIDA","EMBD","nenhum","nenhum","nenhum","Oligotoma saundersii (Westwood, 1837)","Oligotoma saundersii","(Westwood, 1837)","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Oligotomidae","Oligotominae","Oligotoma","x","saundersii","x","espécie","aceito","x","indeterminado","ICZN","x","COSTA-PINTO, P. J.","2020","voucher","OLIVIER, R. S.",24,"x","16","10","2015","x","2015-10-16","16.X.2015","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Vila Kellen","20°32'01.9""S","54°40'10.8""W","-20.533861","-54.669667","nulo","WGS84","x",523,523,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00024","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00025","ARMINV 003 ZUFMS ÚMIDA","EMBD","nenhum","nenhum","nenhum","Oligotoma saundersii (Westwood, 1837)","Oligotoma saundersii","(Westwood, 1837)","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Oligotomidae","Oligotominae","Oligotoma","x","saundersii","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2015","voucher","OLIVIER, R. S.",25,"x","20","02","2013","x","2013-02-20","20.II.2013","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","20°32'01.9""S","54°40'10.8""W","-20.533861","-54.669667","nulo","WGS84","x",521,521,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00025","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00026","ARMINV 003 ZUFMS ÚMIDA","EMBE","nenhum","nenhum","nenhum","Pararhagadochir cf. confusa Ross, 1944","Pararhagadochir confusa","Ross, 1944","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Scelembiidae","Scelembiinae","Pararhagadochir","x","confusa","x","espécie","aceito","x","indeterminado","ICZN","cf.","OLIVIER, R. S.","2015","voucher","OLIVIER, R. S.",26,"x","15","01","2014","x","2014-01-15","15.I.2014","não informado","Cerrado","nenhuma","coletado em ninho no caule de Citrus sp. (Rutaceae)","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","20°32'01.9""S","54°40'10.8""W","-20.533861","-54.669667","nulo","WGS84","x",521,521,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",3,"2 fêmea; 1 machos","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00026","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00027","ARMINV 003 ZUFMS ÚMIDA","EMBA","nenhum","nenhum","nenhum","Pararhagadochir sp. Davis, 1940","Pararhagadochir","Davis, 1940","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Scelembiidae","Scelembiinae","Pararhagadochir","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","COSTA-PINTO, P. J.","2020","voucher","OLIVIER, R. S.",27,"x","14","11","2015","x","2015-11-14","14.XI.2015","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Vila Kellen","20°32'01.9""S","54°40'10.8""W","-20.533861","-54.669667","nulo","WGS84","x",523,523,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00027","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00028","ARMINV 003 ZUFMS ÚMIDA","EMBE","nenhum","nenhum","nenhum","Pararhagadochir confusa Ross, 1944","Pararhagadochir confusa","Ross, 1944","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Scelembiidae","Scelembiinae","Pararhagadochir","x","confusa","x","espécie","aceito","x","indeterminado","ICZN","x","COSTA-PINTO, P. J.","2020","voucher","OLIVIER, R. S.",28,"x","09","05","2015","x","2015-05-09","09.V.2015","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Parque das Nações Indígenas","20°27'13.7""S","54°34'42.8""W","-20.453806","-54.578556","nulo","WGS84","x",593,593,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00028","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00029","ARMINV 003 ZUFMS ÚMIDA","EMBD","nenhum","nenhum","nenhum","Oligotoma saundersii (Westwood, 1837)","Oligotoma saundersii","(Westwood, 1837)","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Oligotomidae","Oligotominae","Oligotoma","x","saundersii","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2015","voucher","OLIVIER, R. S.",29,"x","27","03","2014","x","2014-03-27","27.III.2014","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","20°32'01.9""S","54°40'10.8""W","-20.533861","-54.669667","nulo","WGS84","x",521,521,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00029","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00030","ARMINV 003 ZUFMS ÚMIDA","EMBC","nenhum","nenhum","nenhum","Embioptera Lameere, 1900","Embioptera","Lameere, 1900","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","INDETERMINADO","x","voucher","CARRETONI, J.",30,"x","x","11","2013","x","2013-11","XI.2013","pitfall","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul; Reserva Particular do Patrimônio Natural","20°30'31.5""S","54°36'57.2""W","-20.508750","-54.615889","nulo","WGS84","x",537,537,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","indeterminado","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00030","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00031","ARMINV 003 ZUFMS ÚMIDA","EMBA","nenhum","nenhum","nenhum","Pararhagadochir sp. Davis, 1940","Pararhagadochir","Davis, 1940","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Scelembiidae","Scelembiinae","Pararhagadochir","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","COSTA-PINTO, P. J.","2020","voucher","OLIVIER, R. S.",31,"x","x","12","2017","x","2017-12","XII.2017","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","jaqueira atrás dos bancos","animal inteiro (ETOH 70%)",3,"2 machos; 1 fêmea","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00031","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00032","ARMINV 003 ZUFMS ÚMIDA","EMBD","nenhum","nenhum","nenhum","Oligotoma saundersii (Westwood, 1837)","Oligotoma saundersii","(Westwood, 1837)","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Oligotomidae","Oligotominae","Oligotoma","x","saundersii","x","espécie","aceito","x","indeterminado","ICZN","x","COSTA-PINTO, P. J.","2020","voucher","OLIVIER, R. S.",32,"x","18","06","2018","x","2018-06-18","18.VI.2018","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Vila Kellen","20°32'00.0""S","54°40'13.13""W","-20.533333","-54.670314","x","WGS84","x",522,522,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00032","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00033","ARMINV 003 ZUFMS ÚMIDA","EMBC","nenhum","nenhum","nenhum","Embioptera Lameere, 1900","Embioptera","Lameere, 1900","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","INDETERMINADO","x","voucher","OLIVIER, R. S.",33,"x","08","12","2018","x","2018-12-08","08.XII.2018","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Núcleo Habitacional Buriti","20°29'39.2""S","54°39'54.8""W","-20.494222","-54.665222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"fêmea","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00033","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00034","ARMINV 003 ZUFMS ÚMIDA","EMBB","nenhum","nenhum","nenhum","Archembia cf. boliviana Ross, 2001","Archembia boliviana","Ross, 2001","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Archembiidae","Archembiinae","Archembia","x","boliviana","x","espécie","aceito","x","indeterminado","ICZN","cf.","INDETERMINADO","x","voucher","OLIVIER, R. S.; MONTEIRO, U.",5,"x","07","11","2015","x","2015-11-07","07.XI.2015","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Coxim","x","Pesqueiro Cachoeira das Palmeiras II","18°21'44.85""S","54°36'52.85""W","-18.362458","-54.614681","nulo","WGS84","x",223,223,"nenhum","nulo","nulo","próximo ao Rio Taquari","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00005","x"
