"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00014","ARMINV 003 ZUFMS ÚMIDA","EMBE","nenhum","nenhum","nenhum","Pararhagadochir confusa Ross, 1944","Pararhagadochir confusa","Ross, 1944","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Scelembiidae","Scelembiinae","Pararhagadochir","x","confusa","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2015","voucher","OLIVEIRA, A. F.",14,"x","28","02","2015","x","2015-02-28","28.II.2015","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Coophatrabalho","20°25'56.8""S","54°39'22.10""W","-20.432444","-54.656139","nulo","WGS84","x",579,579,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00014","x"
"2021-10-26","empréstimo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00015","ARMINV 003 ZUFMS ÚMIDA","individual","nenhum","nenhum","nenhum","Diradius sp. Friederichs, 1934","Diradius","Friederichs, 1934","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Teratembiidae","Teratembiinae","Diradius","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","COSTA-PINTO, P. J.","2019","voucher","OLIVIER, R. S.",15,"x","17","08","2015","x","2015-08-17","17.VIII.2015","armadilha luminosa","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Vila Kellen","20°32'01.9""S","54°40'10.8""W","-20.533861","-54.669667","nulo","WGS84","x",521,521,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","GR07/2021","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00015","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00016","ARMINV 003 ZUFMS ÚMIDA","EMBE","nenhum","nenhum","nenhum","Pararhagadochir confusa Ross, 1944","Pararhagadochir confusa","Ross, 1944","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Scelembiidae","Scelembiinae","Pararhagadochir","x","confusa","x","espécie","aceito","x","indeterminado","ICZN","x","COSTA-PINTO, P. J.","2020","voucher","ARANDA, R.",16,"x","22","11","2015","x","2015-11-22","22.XI.2015","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Vila Olinda","20°29'44.87""S","54°36'26.91""W","-20.495797","-54.607475","nulo","WGS84","x",561,561,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00016","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00017","ARMINV 003 ZUFMS ÚMIDA","EMBD","nenhum","nenhum","nenhum","Oligotoma saundersii (Westwood, 1837)","Oligotoma saundersii","(Westwood, 1837)","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Oligotomidae","Oligotominae","Oligotoma","x","saundersii","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2015","voucher","OLIVIER, R. S.",17,"x","14","07","2015","x","2015-07-14","14.VII.2015","armadilha luminosa","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Vila Kellen","20°32'01.9""S","54°40'10.8""W","-20.533861","-54.669667","nulo","WGS84","x",521,521,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00017","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00018","ARMINV 003 ZUFMS ÚMIDA","EMBD","nenhum","nenhum","nenhum","Oligotoma saundersii (Westwood, 1837)","Oligotoma saundersii","(Westwood, 1837)","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Oligotomidae","Oligotominae","Oligotoma","x","saundersii","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2015","voucher","OLIVIER, R. S.",18,"x","01","01","2014","x","2014-01-01","01.I.2014","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","20°32'01.9""S","54°40'10.8""W","-20.533861","-54.669667","nulo","WGS84","x",521,521,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00018","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00019","ARMINV 003 ZUFMS ÚMIDA","individual","nenhum","nenhum","nenhum","Pararhagadochir confusa Ross, 1944","Pararhagadochir confusa","Ross, 1944","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Scelembiidae","Scelembiinae","Pararhagadochir","x","confusa","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2015","voucher","INDETERMINADO",19,"x","27","03","2010","x","2010-03-27","27.III.2010","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Jardim","x","x","21°28'00.9""S","56°08'49.4""W","-21.466917","-56.147056","nulo","WGS84","x",252,252,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00019","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00020","ARMINV 003 ZUFMS ÚMIDA","individual","nenhum","nenhum","nenhum","Embioptera Lameere, 1900","Embioptera","Lameere, 1900","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","INDETERMINADO","x","voucher","AOKI, C.",20,"x","x","10","2014","x","2014-10","X.2014","pitfall","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Maciço do Urucum","19°11'54.3""S","57°38'09.2""W","-19.198407","-57.635883","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","indeterminado","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00020","x"
"2021-10-26","empréstimo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00021","ARMINV 003 ZUFMS ÚMIDA","individual","nenhum","nenhum","nenhum","Teratembiidae Krauss, 1911","Teratembiidae","Krauss, 1911","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Teratembiidae","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","COSTA-PINTO, P. J.","2019","voucher","OLIVIER, R. S.",21,"x","19","07","2015","x","2015-07-19","19.VII.2015","armadilha luminosa","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Vila Kellen","20°32'01.9""S","54°40'10.8""W","-20.533861","-54.669667","nulo","WGS84","x",521,521,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","GR07/2021","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00021","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00022","ARMINV 003 ZUFMS ÚMIDA","EMBE","nenhum","nenhum","nenhum","Pararhagadochir confusa Ross, 1944","Pararhagadochir confusa","Ross, 1944","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Scelembiidae","Scelembiinae","Pararhagadochir","x","confusa","x","espécie","aceito","x","indeterminado","ICZN","x","COSTA-PINTO, P. J.","2020","voucher","OLIVEIRA, A. F.",22,"x","22","11","2015","x","2015-11-22","22.XI.2015","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Coophatrabalho","20°26'11.62""S","54°38'58.34""W","-20.436561","-54.649539","nulo","WGS84","x",598,598,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00022","x"
"2021-10-26","nenhum","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-EMB00023","ARMINV 003 ZUFMS ÚMIDA","EMBD","nenhum","nenhum","nenhum","Oligotoma saundersii (Westwood, 1837)","Oligotoma saundersii","(Westwood, 1837)","Animalia","Arthropoda","Hexapoda","Insecta","Embioptera","Neoembiodea","Oligotomidae","Oligotominae","Oligotoma","x","saundersii","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2015","voucher","OLIVIER, R. S.",23,"x","17","07","2013","x","2013-07-17","17.VII.2013","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","20°32'01.9""S","54°40'10.8""W","-20.533861","-54.669667","nulo","WGS84","x",521,521,"nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","não informado","adulto","não informado","selvagem","nenhum","nenhuma","em tombamento","x","x","x","Coletas Renan Silva Olivier","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-EMB00023","x"
