"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização no Armário (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Tribo","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial","artificial","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","artificial","class","order","artificial","family","artificial","artificial","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MEG...",6,6,"CEUFMS 00549","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Megaloptera","x","x","x","x","x","x","x","x","x","x","x","x","x","x","Silva, C. L.","x","x","Bordim, A. L.","x","x","04","11","2005","x","x","04.XI.2005","x","x","x","x","x","x","x","x","x","Bonito","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MEG...","armário de ferro","gaveta Renan","CEUFMS 12411","x","x","Corydalus sp.","Corydalus","x","Animalia","Arthropoda","Hexapoda","Insecta","Megaloptera ","Corydalidae","Corydalinae","x","x","Corydalus ","x","x","x","x","x","x","x","x","sp.","Olivier, R.",2013,"x","Sinani, T. ","x","x","04","10","2013","x","x","04.X.2013","x","x","x","x","x","x","x","x","x","Corguinho","x","Estância Quinta do Sol","19º46'35""S","55º14'46""W","-19.776389","-55.246111","x","x","x",280,280,"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2021-02-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MEG00001","LOTE27","MEGA","nenhum","nenhum","nenhum","Corydalidae Latreille, 1802","Corydalidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Megaloptera","Corydalidae","Corydalidae","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 1","03","12","2020","09:30:00/11:30:00","2020-12-03","03.XII.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 1","América do Sul","Brasil","BRA","Ivaí","Paraná","Mauá da Serra","x","Cenoura","23°53'49.74""S","51°17'31.39""W","-23.897150","-51.292053","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","larva","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","x","x","x"
"2021-02-11","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MEG00002","LOTE27","MEGA","nenhum","nenhum","nenhum","Corydalidae Latreille, 1802","Corydalidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Megaloptera","Corydalidae","Corydalidae","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 1; Ponto 2","26","09","2020","09:30:00/11:30:00","2020-09-26","26.IX.2020","busca ativa","Mata Atlântica","final de seca","Campanha 1; Ponto 2","América do Sul","Brasil","BRA","Ivaí","Paraná","Marilândia do Sul","x","Rio Bom","23°47'18.10""S","51°18'07.54""W","-23.788361","-51.302094","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","larva","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","x","x","x"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,
