"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Classe","Subclasse","Ordem","Subordem","Família","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00010","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 1; Ponto 3","13","10","2020","09:30:00/11:30:00","2020-10-13","13.X.2020","busca ativa","Mata Atlântica","final de seca","Campanha 1; Ponto 3","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel I","23°16'39.31""S","51°25'55.70""W","-23.277586","-51.432139","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00010","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00011","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 1","06","12","2020","09:30:00/11:30:00","2020-12-06","06.XII.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 1","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel I","23°16'39.31""S","51°25'55.70""W","-23.277586","-51.432139","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",5,"indeterminado","não informado","larva","não informado","selvagem","não informado","1 fragmento","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00011","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00012","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 2","06","12","2020","09:30:00/11:30:00","2020-12-06","06.XII.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 2","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel I","23°16'39.31""S","51°25'55.70""W","-23.277586","-51.432139","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",22,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00012","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00013","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 3","06","12","2020","09:30:00/11:30:00","2020-12-06","06.XII.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 3","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel I","23°16'39.31""S","51°25'55.70""W","-23.277586","-51.432139","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00013","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00014","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 1","11","12","2020","09:30:00/11:30:00","2020-12-11","11.XII.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 1","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel II","23°16'58.70""S","51°26'48.95""W","-23.282972","-51.446931","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00014","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00015","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 2","11","12","2020","09:30:00/11:30:00","2020-12-11","11.XII.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 2","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel II","23°16'58.70""S","51°26'48.95""W","-23.282972","-51.446931","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",2,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00015","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00016","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 3","11","12","2020","09:30:00/11:30:00","2020-12-11","11.XII.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 3","América do Sul","Brasil","BRA","Paranapanema","Paraná","Rolândia","x","Aquabel II","23°16'58.70""S","51°26'48.95""W","-23.282972","-51.446931","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",3,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00016","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00017","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 1; Ponto 1","01","10","2020","09:30:00/11:30:00","2020-10-01","01.X.2020","busca ativa","Mata Atlântica","final de seca","Campanha 1; Ponto 1","América do Sul","Brasil","BRA","Ivaí","Paraná","Marilândia do Sul","x","Bromélia","23°51'51.09""S","51°21'03.43""W","-23.864192","-51.350953","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00017","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00018","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 1; Ponto 3","01","10","2020","09:30:00/11:30:00","2020-10-01","01.X.2020","busca ativa","Mata Atlântica","final de seca","Campanha 1; Ponto 3","América do Sul","Brasil","BRA","Ivaí","Paraná","Marilândia do Sul","x","Bromélia","23°51'51.09""S","51°21'03.43""W","-23.864192","-51.350953","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","larva","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00018","x"
"2021-10-08","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ANN00019","LOTE02","ANND","nenhum","nenhum","nenhum","Tubificidae Vejdovský, 1884","Tubificidae","Vejdovský, 1884","Animalia","Annelida","Clitellata","Oligochaeta","Haplotaxida  ","Tubificina","Tubificidae","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","SOARES, P.","2021-01-25","voucher","COUTO, R. M. P.","x","Campanha 2; Ponto 1","29","11","2020","09:30:00/11:30:00","2020-11-29","29.XI.2020","busca ativa","Mata Atlântica","final de seca","Campanha 2; Ponto 1","América do Sul","Brasil","BRA","Ivaí","Paraná","Marilândia do Sul","x","Bromélia","23°51'51.09""S","51°21'03.43""W","-23.864192","-51.350953","10","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"hermafrodita","não informado","adulto","não informado","selvagem","não informado","nenhuma","em coleção","x","x","x","Licenciamento ambiental da empresa Sul Energia Ltda.","nenhuma","NCBI, 2021","br:UFMS:ZUFMS:ZUFMS-ANN00019","x"
