"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Prateleira)","Localização na Coleção (Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Família","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2016-10-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CRU00057","ARMINV 002 ZUFMS ÚMIDA","x","CRU081","nenhum","nenhum","Sylviocarcinus australis Magalhães e Turkay, 1996","Sylviocarcinus australis","Magalhães e Turkay, 1996","Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Trichodactylidae","Sylviocarcinus","x","australis","x","espécie","aceito","x","x","ICZN","x","Marini, A. C.","1995-03-07","voucher","Marini, A. C.","x","x","28","02","1995","x","x","28.II.1995","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","x","x","x","x","x","x","x","x","x","x","Rio Miranda","x","x","x","animal inteiro (ETOH 70%)",1,"fêmea","x","x","x","selvagem","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-CRU00057","x"
"2016-10-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CRU00058","ARMINV 002 ZUFMS ÚMIDA","x","CRU082","nenhum","nenhum","Dilocarcinus (Dilocarcinus) pagei pagei Stimpson, 1861","Dilocarcinus (Dilocarcinus) pagei pagei","Stimpson, 1861","Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Trichodactylidae","Dilocarcinus","Dilocarcinus","pagei","pagei","subespécie","aceito","x","x","ICZN","x","Marini, A. C.","1991-12-02","voucher","Marini, A. C.","x","x","30","10","1990","x","x","30.X.1990","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Base de Estudos do Pantanal - UFMS","19°34'00""S","57°00'00""W","-19.566667","-57.000000","x","WGS84","x",85,85,"Rio Miranda","x","x","x","animal inteiro (ETOH 70%)",2,"fêmea","x","x","x","selvagem","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-CRU00058","x"
"2016-10-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CRU00059","ARMINV 002 ZUFMS ÚMIDA","x","CRU083","nenhum","nenhum","Valdivia camerani (Nobili, 1896)","Valdivia camerani","(Nobili, 1896)","Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Trichodactylidae","Valdivia","x","camerani","x","espécie","aceito","x","x","ICZN","x","Marini, A. C.","1991-12-02","voucher","Marini, A. C.","x","x","19","09","1990","x","x","19.IX.1990","x","carandazal","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Pantanal da Nhecolândia","x","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)",1,"fêmea","x","x","x","selvagem","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-CRU00059","x"
"2016-10-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CRU00060","ARMINV 002 ZUFMS ÚMIDA","x","CRU084","nenhum","nenhum","Trichodactylus (Trichodactylus) borellianus Nobili, 1896","Trichodactylus (Trichodactylus) borellianus","Nobili, 1896","Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Trichodactylidae","Trichodactylus","Trichodactylus","borellianus","x","espécie","aceito","x","x","ICZN","x","Marini, A. C.","1990-09-19","voucher","Marini, A. C.","x","x","07","09","1990","x","x","07.IX.1990","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Base de Estudos do Pantanal - UFMS","19°34'00""S","57°00'00""W","-19.566667","-57.000000","x","WGS84","x",85,85,"Rio Miranda","x","x","x","animal inteiro (ETOH 70%)",7,"indeterminado","x","x","x","selvagem","x","x","empréstimo","GR31/2016","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-CRU00060","x"
"2016-10-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CRU00061","ARMINV 002 ZUFMS ÚMIDA","x","CRU085","nenhum","nenhum","Trichodactylus (Trichodactylus) borellianus Nobili, 1896","Trichodactylus (Trichodactylus) borellianus","Nobili, 1896","Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Trichodactylidae","Trichodactylus","Trichodactylus","borellianus","x","espécie","aceito","x","x","ICZN","x","Marini, A. C.","1990-09-19","voucher","Marini, A. C.","x","x","08","09","1990","x","x","08.IX.1990","x","carandazal","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","x","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)",2,"fêmea","x","x","x","selvagem","x","x","empréstimo","GR31/2016","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-CRU00061","x"
"2016-10-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CRU00062","ARMINV 002 ZUFMS ÚMIDA","x","CRU086","nenhum","nenhum","Trichodactylus (Trichodactylus) borellianus Nobili, 1896","Trichodactylus (Trichodactylus) borellianus","Nobili, 1896","Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Trichodactylidae","Trichodactylus","Trichodactylus","borellianus","x","espécie","aceito","x","x","ICZN","x","Marini, A. C.","1991-12-02","voucher","Marini, A. C.","x","x","19","09","1990","x","x","19.IX.1990","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Pantanal da Nhecolândia","x","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)",86,"indeterminado","x","x","x","selvagem","x","x","empréstimo","GR31/2016","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-CRU00062","x"
"2016-10-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CRU00063","ARMINV 002 ZUFMS ÚMIDA","x","CRU087","nenhum","nenhum","Sylviocarcinus australis Magalhães e Turkay, 1996","Sylviocarcinus australis","Magalhães e Turkay, 1996","Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Trichodactylidae","Sylviocarcinus","x","australis","x","espécie","aceito","x","x","ICZN","x","Marini, A. C.","1991-04-20","voucher","Louzan, J. C.","x","x","17","04","1991","x","x","17.IV.1991","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Base de Estudos do Pantanal - UFMS","19°34'00""S","57°00'00""W","-19.566667","-57.000000","x","WGS84","x",85,85,"Rio Miranda","x","x","x","animal inteiro (ETOH 70%)",4,"indeterminado","x","x","x","selvagem","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-CRU00063","x"
"2016-10-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CRU00064","ARMINV 002 ZUFMS ÚMIDA","x","CRU088","nenhum","nenhum","Sylviocarcinus australis Magalhães e Turkay, 1996","Sylviocarcinus australis","Magalhães e Turkay, 1996","Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Trichodactylidae","Sylviocarcinus","x","australis","x","espécie","aceito","x","x","ICZN","x","Marini, A. C.","1991-12-02","voucher","Marini, A. C.","x","x","28","03","1991","x","x","28.III.1991","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Base de Estudos do Pantanal - UFMS","19°34'00""S","57°00'00""W","-19.566667","-57.000000","x","WGS84","x",85,85,"Rio Miranda","x","x","x","animal inteiro (ETOH 70%)",8,"indeterminado","x","x","x","selvagem","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-CRU00064","x"
"2016-10-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CRU00065","ARMINV 002 ZUFMS ÚMIDA","x","CRU089","nenhum","nenhum","Sylviocarcinus australis Magalhães e Turkay, 1996","Sylviocarcinus australis","Magalhães e Turkay, 1996","Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Trichodactylidae","Sylviocarcinus","x","australis","x","espécie","aceito","x","x","ICZN","x","Marini, A. C.","1991-12-02","voucher","Santos, A. V.","x","x","19","01","1991","x","x","19.I.1991","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Base de Estudos do Pantanal - UFMS","19°34'00""S","57°00'00""W","-19.566667","-57.000000","x","WGS84","x",85,85,"Rio Miranda","x","x","x","animal inteiro (ETOH 70%)",7,"indeterminado","x","x","x","selvagem","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-CRU00065","x"
"2016-10-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CRU00066","ARMINV 002 ZUFMS ÚMIDA","x","CRU090","nenhum","nenhum","Sylviocarcinus australis Magalhães e Turkay, 1996","Sylviocarcinus australis","Magalhães e Turkay, 1996","Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Trichodactylidae","Sylviocarcinus","x","australis","x","espécie","aceito","x","x","ICZN","x","Marini, A. C.","1991-06-20","voucher","Marini, A. C. & Uetanabaro, M.","x","x","15","06","1991","x","x","15.VI.1991","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Base de Estudos do Pantanal - UFMS","19°34'00""S","57°00'00""W","-19.566667","-57.000000","x","WGS84","x",85,85,"Rio Miranda","x","x","x","animal inteiro (ETOH 70%)",5,"indeterminado","x","x","x","selvagem","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-CRU00066","x"
